Format,Excerpt,Author,Recipient,Publisher,Reply To,Date,Quote
Newspaper,No,,,Maryland Journal,,9/28/1787,"The following is the Conclusion of the SPEECH of SAMUEL CHASE, Esq; delivered, this Day, at the Court-House, before a numerous and respectable Body of Citizens. (Published by Request of many Electors of Baltimore-Town.) The Constitution proposed by the late Convention, for the United States, will alter, and, in some Instances, abolish our Bill of Rights and Form of Government. The Legislature of this State have no Right to alter our Form of Government, but in the Mode prescribed by the Constitution.2 The only Question for the General Assembly to determine is this, whether they will recommend to the People to elect Delegates to meet in Convention, to consider and decide on the Plan proposed. I have always maintained the Union, and the Increase of Powers in Congress. I think the Federal Government must be greatly altered. I have not formed my Opinion, whether the Plan proposed ought to be accepted, as it stands, without any Amendment or Alteration.—The Subject is very momentous, and involves the greatest Consequences. If elected, I will vote for, and use my Endeavours to procure a Recommendation by the Legislature, to call a Convention, as soon as it can conveniently be done, unless otherways directed by this Town. September 26, 1787. Having been informed, that my Engagement, of Yesterday, to the Meeting, at the Court House, “to vote for, and use my Endeavours to procure a Recommendation, by the Legislature, to call a Convention, as soon as it can conveniently be done,” is not understood; from a Desire, if possible, to remove all Misunderstanding, I take the Liberty to declare, that by the above Promise I meant to engage, and therefore do promise, if elected, that I will use my Endeavours to procure, at the next Session of Assembly, and as soon in the Session as the necessary Business of the State will permit, a Recommendation by the General [11]Assembly to call a Convention, to consider and decide on the Constitution proposed by the late Convention for the United States, and to appoint the Election of Delegates to the Convention as soon as the Convenience of the People will permit. I further beg Leave to add, as my Opinion, that the Election of Delegates to the Convention ought to be as early in the Spring as may be. SAMUEL CHASE. Baltimore, September 27, 1787."
Newspaper,No,Caution,,Maryland Journal,,8/12/1787,"To the INHABITANTS of BALTIMORE TOWN. An attempt to surprise you into any public measure, ought to meet your indignation and contempt. When violence or cunning is substituted for argument and reason, suspicion should take the alarm, and prudence should dictate the propriety of deliberation. Questions of consequence in private life, ought not to be hastily decided, and with greater reason, determinations, that involve the future felicity of a whole people, ought not to be taken before the most mature and deliberate consideration, and a free and full examination of the subject, and all its consequences.—These reflections occurred on being informed that some gentlemen of this Town, employ themselves in carrying about and soliciting subscribers to a petition, addressed to the General Assembly, requesting them to call a Convention to ratify the new system of government, proposed for the United States, by the late Convention at Philadelphia.2 If this petition contained no more, it would not have been worthy of notice; but it publishes to the world your entire approbation of the New Federal Government, and your desire that it should be adopted and confirmed by this State, as it stands, without any amendment or alteration. The ostensible cause for offering you the petition to sign is, that you may express your sentiments to the legislature, that [15]they ought to call a Convention to ratify the new form of government for the United States; but the real design of the promoters of the petition is to draw you into a declaration in favour of the whole system, and to bind you hereafter to support it, which you must do, or allege deception and surprise, if, on further reflection, you should discover that you rashly gave an opinion against your real interests. If the real intention of the promoters and carriers of this petition was only to obtain your opinion in favour of calling a Convention, it might have been expressed in a few lines; and no one would oppose such a petition, although improper and unnecessary, because your Delegates will certainly move for, and exert themselves to procure, the calling a Convention; and no member of the General Assembly will deny that, in so doing, your Delegates speak your sentiments. In my opinion, it is not necessary or proper for you, at this time, to express your approbation, or disapprobation, of the new constitution for the United States, for the following reasons: First—because the decision for or against the plan, is of the greatest consequence, as it involves no less than the happiness or misery of you and all your posterity forever; and therefore, I think, requires your dispassionate and most deliberate consideration.—Secondly—because you want information, and have not had time yourselves to examine the proposed system, and to consider the consequences that may flow from rejecting or adopting it.—Thirdly—because time is not given for your countrymen in this, and the other States, to consider the subject, and to lay their sentiments and reasons for or against the measure before you.—Fourthly—because you ought to hear both sides, as the man who determines on hearing one party only, will almost always be mistaken in his judgment: He may be in the right, but it will be by chance, and not by reason.—Fifthly—because you are not pressed in point of time to determine on the subject; you have at least three months for deliberation; to decide, therefore, in a few days, will be rashness and folly.—Sixthly—when men urge you to determine in haste, on so momentous a subject, it is not unreasonable to inquire their motives; and it is not uncharitable to suspect that they are improper; and no possible mischief or inconvenience can happen from delay. October 11, 1787."
Newspaper,No,,,Freeman's Journal,,11/27/1787,"Extract of a letter from Queen Anne’s county, (Maryland) November 12. “You tell me of the beauties of the new constitution, and that great part of your state are for adopting it,—but this is quite different with our people; nobody now supposes that it will go down in this state, without a bill of rights, and very material alterations. You say, that General Washington’s name will force it down in all the states—but you are as much mistaken in that, as I was: I find that our southern states are clearer on this head than any other, that the greatest names ought not to prejudice any man in such an important business; but you will say to this, that the greatest prophet has no honor in his own country.2 I am often told, when I am arguing with them, that the general would not wish people to adopt it because his name is prefixed to it, and some have told me that the General, Mr. Franklin, and some others, did only sign as witnesses, and that they had no hand in forming it; I have shewn these people Mr. Wilson’s speech3 which you sent me, but I find it does not answer here—pray send me some good, sound, plain, argumentative pieces, for I am looked very slyly at frequently, and I am afraid that there must be some cause for it. Please inform me how I shall get over this sweeping clause, as they call it, viz.—‘That the constitution and laws of Congress are to have the power of regulating every thing in the state, and to be the supreme law of the land, any thing in the constitutions or laws of any of the states to the contrary notwithstanding;’4 for in their arguing for a bill of rights they always throw up this in the way, among other objections. Every body I see from Virginia, informs me, that all is going against us all over that state, and they tell me, that there has been a trial of the proposed plan in a court-house there; when the business of the court was over, the lawyers divided [62]themselves for and against, judges and jury were appointed, when, after several hours debating on both sides, before hundreds of people, the jury, without going out of court, gave their verdict against it unanimously.”"
Letter,Yes,Uriah Forrest,Thomas Jefferson,,,12/11/1787,"I am afraid the proposed constitution will serve to increase the disorders that it’s framers wished to extinguish. It contains many good articles, but I am free to own there appears to me some so very bad, as to throw the weight in that scale. I cannot reconcile myself to the Idea of a chief magistrate being eligible a second time, much less continuable for Life. Were not the members too strongly impressed with the late commotion in Massachusetts?2 We surely have suffer’d the people of this Country and those who are disaffected in our own, to influence our opinion respecting the true state & situation of our people [112]& Government—the most trifling events have been magnified into monstrous outrages.—Will the next generation credit us that, in the first twelve Years of the Independence of thirteen free powerful & seperate States, only one Rebellion happen’d, and that that one terminated so speedily and honourably towards Govt.? The peoples judgments were no sooner inform’d than they return’d to allegiance, and were convinced that their grievences were immaginary, and that they were not oppressed in the manner a few desperate Characters had attempted to teach them.— I am obliged to own myself one of those, who do not wish to see the people more obedient to their rulers in the next twelve, or any other twelve years, than they have been in the last.—a proper spirit of resistance is the best security for their liberties, and they shou’d now & then warn their rulers of it. As I am in the legislature and shall be in the convention for the consideration of this proposed Constitution,3 and it is surely a question of the utmost consequence, I wish to acquire every possible information—. If your Excellency will indulge me with such observations on it as hath occur’d to you, it will indeed oblige me—rest assured that no other use shall be made of them, than the correcting of my judgment and opinion on the subject.4"
Newspaper,No,Observator,,Maryland Journal,,12/25/1787,"For the BENEFIT of the POOR. At the COURT-HOUSE, BALTIMORE, Before the Worshipful Bench of Justices, for that County, will be held A SPECIAL COURT, [124 for the TRIAL of the NEW FEDERAL GOVERNMENT, at the request of the state’s attorney, For a wilful Attempt to destroy our happy Constitution, bring us under a Military Government, deprive us of the Liberty of the Press, and sundry other Intentions, amounting, if not to Treason, at least to misprision of Treason. council for the defendant. Messrs. McH——y, R. S——th, Z. H——th, Esqr’s.1 for the state. S. Ch——e, D. McM——n, Esqr’s.2 And on each Side, Numbers who shall be permitted to make their first Appearance at the Bar. The Jurymen to be chosen one Half out of the Body of Merchants, Natives or Foreigners; the other Half of Country Gentlemen. Tickets, at One Quarter of a Dollar, to be had of any Justice of the Peace. N. B. It is respectfully requested of the Gentlemen at the Bar, that they will appoint the Day, and dedicate it in that Manner to the Relief of a Multitude likely to suffer from the Severities of the approaching Season; and it is confidently hoped, that the Gentlemen and Ladies, who have generously contributed to the support of Legerdemain Entertainment, will joyfully embrace the Opportunity of warming the cold Hand of Indigence, and gladdening the Hearts of their Fellow-Creatures. Baltimore, December 24, 1787."
Newspaper,No,Luther Martin,,Maryland Gazette,,12/28/1787,"Mr. Hayes, It was the wish of many respectable characters both in the House of Assembly, and others, that the information received from the Delegates to the late Convention, should be made public.2—I have taken some pains, to collect together, the substance of the information, which was given on that occasion to the House of Delegates by Mr. Martin; by your inserting it in your paper, you will oblige a customer. Mr. MARTIN, when called upon, addressed the House nearly as follows: Mr. Speaker, Since I was notified of the resolve of this Honourable House, that we should attend this day, to give information with regard to the proceedings of the late convention, my time has necessarily been taken up with business, and I have also been obliged to make a journey to the Eastern-Shore: These circumstances have prevented me from being as well prepared as I could wish, to give the information required—However, the few leisure moments I could spare, I have devoted to refreshing my memory, by looking over the papers and notes in my possession; and shall with pleasure, to the best of my abilities, render an account of my conduct. It was not in my power to attend the convention immediately on my appointment—I took my seat, I believe, about the eighth or ninth of June. I found that Governor Randolph, of Virginia, had laid before the convention certain propositions for their consideration, which have been read to this House by my Honourable colleague, and I believe, he has very faithfully detailed the substance of the speech with which the business of the convention was opened, for though I was not there at the time, I saw notes which had been taken of it.3—The members of the convention from the States, came there under different powers. The greatest number, I believe under powers, nearly the same as those of the delegates of this State4—Some came to the convention under the former appointment, authorising the meeting of delegates merely to regulate trade.—Those of Delaware were expressly instructed to agree to no system which should take away from the States, that equality of suffrage secured by the original articles of confederation. Before I arrived, a number of rules had been adopted to regulate the proceedings of the convention, by one of which, seven States might proceed to business, [129]and consequently four States, the majority of that number, might eventually have agreed upon a system which was to effect the whole Union. By another, the doors were to be shut, and the whole proceedings were to be kept secret; and so far did this rule extend, that we were thereby prevented from corresponding with gentlemen in the different States upon the subjects under our discussion—a circumstance, Sir, which I confess, I greatly regretted—I had no idea that all the wisdom, integrity, and virtue of this State, or of the others, were centered in the convention—I wished to have corresponded freely, and confidentially, with eminent political characters in my own, and other States, not implicitly to be dictated to by them, but to give their sentiments due weight and consideration. So extremely solicitous were they, that their proceedings should not transpire, that the members were prohibited even from taking copies of resolutions, on which the convention were deliberating, or extracts of any kind from the journals without formally moving for, and obtaining permission, by a vote of the convention for that purpose. You have heard, Sir, the resolutions which were brought forward by the honourable member from Virginia—let me call the attention of this House, to the conduct of Virginia, when our confederation was entered into—That State then proposed, and obstinately contended, contrary to the sense of, and unsupported by the other States, for an inequality of suffrage founded on numbers, or some such scale, which should give her, and certain other States, influence in the Union over the rest—pursuant to that spirit which then characterized her, and uniform in her conduct, the very second resolve, is calculated expressly for that purpose to give her a representation proportioned to her numbers, as if the want of that was the principle defect in our original system, and this alteration the great means of remedying the evils we had experienced under our present government. The object of Virginia and other large States, to increase their power and influence over the others, did not escape observation—The subject, however, was discussed with great coolness in the committee of the whole House (for the convention had resolved itself into a committee of the whole to deliberate upon the propositions delivered in by the honourable member from Virginia). Hopes were formed, that the farther we proceeded in the examination of the resolutions, the better the House might be satisfied of the impropriety of adopting them, and that they would finally be rejected by a majority of the committee—If on the contrary, a majority should report in their favour, it was considered that it would not preclude the members from bringing forward and submitting any other system to the consideration of the convention; and accordingly, while those resolves were the subject of discussion in the [130]committee of the whole House, a number of the members who disapproved them, were preparing another system, such as they thought more conducive to the happiness and welfare of the States—The propositions originally submitted to the convention having been debated, and undergone a variety of alterations in the course of our proceedings, the committee of the whole House by a small majority agreed to a report, which I am happy, Sir, to have in my power to lay before you5—It was as follow: 1. Resolved, That it is the opinion of this committee, that a national government ought to be established, consisting of a supreme, legislative, judiciary and executive. 2. That the legislative ought to consist of two branches. 3. That the members of the first branch of the national legislature ought to be elected by the people of the several States, for the term of three years, to receive fixed stipends, by which they may be compensated for the devotion of their time to public service, to be paid out of the national treasury, to be ineligible to any office established by a particular State, or under the authority of the United States, except those particularly belonging to the functions of the first branch, during the term of service, and under the national government, for the space of one year after its expiration. 4. That the members of the second branch of the legislature ought to be chosen by the individual legislatures, to be of the age of thirty years at least, to hold their offices for a term sufficient to ensure their independency, namely, seven years, one third to go out biennially, to receive fixed stipends, by which they may be compensated for the devotion of their time to public service, to be paid out of the national treasury, to be ineligible to any office by a particular State, or under the authority of the United States, except those peculiarly belonging to the functions of the second branch, during the term of service, and under the national government, for the space of one year after its expiration. 5. That each branch ought to possess the right of originating acts. 6. That the national legislature ought to be empowered to enjoy the legislative rights vested in Congress by the confederation, and moreover, to legislate in all cases to which the separate States are incompetent, or in which the harmony of the United States may be interrupted, by the exercise of individual legislation; to negative all laws passed by the several States, contravening, in the opinion of the legislature of the United States, the articles of union, or any treaties subsisting under the authority of the Union. 7. That the right of suffrage in the first branch of the national legislature, ought not to be according to the rule established in the articles of confederation, but according to some equitable rate of representation, namely, [131]in proportion to the whole number of white, and other free citizens and inhabitants of every age, sex and condition, including those bound to servitude for a term of years, and three fifths of all other persons, not comprehended in the foregoing description, except Indians not paying taxes in each State. 8. That the right of suffrage in the second branch of the national legislature, ought to be according to the rule established in the first. 9. That a national executive be instituted to consist of a single person, to be chosen by the national legislature for the term of seven years, with power to carry into execution the national laws, to appoint to offices in cases not otherwise provided for, to be ineligible a second time, and to be removable on impeachment and conviction of malpractice or neglect of duty, to receive a fixed stipend, by which he may be compensated for the devotion of his time to public service—to be paid out of the national treasury. 10. That the national executive shall have a right to negative any legislative act which shall not afterwards be passed, unless by two third parts of each branch of the national legislature. 11. That a national judiciary be established, to consist of one supreme tribunal, the judges of which, to be appointed by the second branch of the national legislature, to hold their offices during good behaviour, and to receive punctually, at stated times, a fixed compensation for their services, in which no increase or diminution shall be made, so as to affect the persons actually in office at the time of such increase or diminution. 12. That the national legislature be empowered to appoint inferior tribunals. 13. That the jurisdiction of the national judiciary shall extend to cases which respect the collection of the national revenue; cases arising under the laws of the United States—impeachments of any national officer, and questions which involve the national peace and harmony. 14. Resolved, That provision ought to be made for the admission of States lawfully arising within the limits of the United States whether from a voluntary junction of government, territory, or otherwise, with the consent of a number of voices in the national legislature less than the whole. 15. Resolved, That provision ought to be made for the continuance of Congress, and their authority and privileges, until a given day after the reform of the articles of union shall be adopted, and for the completion of all their engagements. 16. That a republican constitution and its existing laws ought to be guarranteed to each State by the United States. 17. That provision ought to be made for the amendment of the articles of union, whensoever it shall seem necessary. 18. That the legislative, executive and judiciary powers, within the several States, ought to be bound by oath to support the articles of the union. 19. That the amendments which shall be offered to the confederation by this convention, ought, at a proper time or times, after the approbation of Congress, to be submitted to an assembly or assemblies, recommended by the legislatures, to be expressly chosen by the people to consider and decide thereon. These propositions, Sir, were acceeded to by a majority of the members of the committee—a system by which the large States were to have not only an inequality of suffrage in the first branch, but also the same inequality in the second branch, or senate; however, it was not designed the second branch should consist of the same number as the first. It was proposed that the senate should consist of twenty-eight members, formed on the following scale—Virginia to send five, Pennsylvania and Massachusetts each four, South-Carolina, North-Carolina, Maryland, New-York, and Connecticut two each, and the States of New-Hampshire, Rhode-Island, Jersey, Delaware, and Georgia each of them one;6 upon this plan, the three large States, Virginia, Pennsylvania, and Massachusetts, would have thirteen senators out of twenty-eight, almost one half of the whole number—Fifteen senators were to be a quorum to proceed to business; those three States would, therefore, have thirteen out of that quorum. Having this inequality in each branch of the legislature, it must be evident, Sir, that they would make what laws they pleased, however disagreeable or injurious to the other States, and that they would always prevent the other States from making any laws, however necessary and proper, if not agreeable to the views of those three States—They were not only, Sir, by this system, to have such an undue superiority in making laws and regulations for the Union, but to have the same superiority in the appointment of the president, the judges, and all other officers of government. Hence, those three States would in reality have the appointment of the president, judges, and all the other officers. This president, and these judges, so appointed, we may be morally certain would be citizens of one of those three States; and the president, as appointed by them, and a citizen of one of them, would espouse their interests and their views, when they came in competition with the views and interests of the other States. This president, so appointed by the three large States, and so unduly under their influence, was to have a negative upon every law that should be passed, which, if negatived by him, was not to take effect, unless assented to by two thirds of each branch of the legislatures, a provision which deprived ten States of even the faintest shadow of liberty; for if they, by a miraculous unanimity, having all their members present, should outvote the [133]other three, and pass a law contrary to their wishes, those three large States need only procure the president to negative it, and thereby prevent a possibility of its ever taking effect, because the representatives of those three States would amount to much more than one third (almost one half) of the representatives in each branch. And, Sir, this government, so organized with all this undue superiority in those three large States, was as you see to have a power of negativing the laws passed by every State legislature in the Union. Whether, therefore, laws passed by the legislature of Maryland, New-York, Connecticut, Georgia, or of any other of the ten States, for the regulation of their internal police, should take effect, and be carried into execution, was to depend on the good pleasure of the representatives of Virginia, Pennsylvania and Massachusetts. This system of slavery, which bound hand and foot ten States in the Union, and placed them at the mercy of the other three, and under the most abject and servile subjection to them, was approved by a majority of the members of the convention, and reported by the committee. On this occasion, the House will recollect, that the convention was resolved into a committee of the whole—of this committee Mr. Gorham was chairman—The honorable Mr. Washington was then on the floor, in the same situation with any other member of the convention at large, to oppose any system he thought injurious, or to propose any alterations or amendments he thought beneficial, to these propositions so reported by the committee, no opposition was given by that illustrious personage, or by the president of the State of Pennsylvania.7 They both appeared cordially to approve them, and to give them their hearty concurrence; yet this system, I am confident, Mr. Speaker, there is not a member in this house would advocate, or who would hesitate one moment in saying it ought to be rejected. I mention this circumstance in compliance with the duty I owe this honorable body, not with a view to lessen those exalted characters, but to shew how far the greatest and best of men may be led to adopt very improper measures, through error in judgment, State influence, or by other causes, and to shew that it is our duty not to suffer our eyes to be so far dazzled by the splendor of names, as to run blindfolded into what may be our destruction. Mr. Speaker, I revere those illustrious personages as much as any man here. No man has a higher sense of the important services they have rendered this country. No member of the convention went there more disposed to pay a deference to their opinions; but I should little have deserved the trust this State reposed in me, if I could have sacrificed its dearest interests to my complaisance for their sentiments. (To be continued.)"
Newspaper,No,Luther Martin,,Maryland Gazette,,1/1/1788,"Mr. Martin’s Information to the House of Assembly, continued. When contrary to our hopes it was found, that a majority of the members of the convention had in the committee agreed to the system, I have laid before you, we then thought it necessary to bring forward the propositions, which such of us who disapproved the plan before had prepared—The members who had prepared these resolutions were principally of the Connecticut, New-York, Jersey, Delaware and Maryland delegations.—The honorable Mr. Patterson, of the Jerseys, laid them before the convention—of these propositions(a) I am in possession of a copy, which I shall beg leave to read to you.2 These propositions were referred to a committee of the whole house.—Unfortunately the New-Hampshire delegation had not yet arrived, and the sickness of a relation of the honorable Mr. McHenry, obliged him still to be absent, a circumstance, Sir, which I considered much to be regretted, as Maryland thereby was represented by only two delegates, and they unhappily differed very widely in their sentiments.3 The result of the referrence of these last propositions to a committee, was a speedy and hasty determination to reject them4—I doubt not, Sir, to those who consider them with attention, so sudden a rejection will appear surprising; but it may be proper to inform you, that on our meeting in convention, it was soon found there were among us three parties of very different sentiments and views. One party, whose object and wish it was to abolish and annihilate all State governments, and to bring forward one general government over [136]this extensive continent of a monarchical nature, under certain restrictions and limitations:—Those who openly avowed this sentiment were, it is true, but few, yet it is equally true, Sir, that there was a considerable number who did not openly avow it, who were by myself, and many others of the convention, considered as being in reality favourers of that sentiment, and acting upon those principles, covertly endeavouring to carry into effect what they well knew openly and avowedly could not be accomplished.5 The second party was not for the abolition of the State governments, nor for the introduction of a monarchical government under any form; but they wished to establish such a system as would give their own States undue power and influence in the government over the other States.—A third party was what I considered truly federal and republican—This party was nearly equal in number with the other two, and were composed of the delegations from Connecticut, New-York, New-Jersey, Delaware, and in part from Maryland; also of some individuals from other representations.—This party, Sir, were for proceeding upon terms of federal equality; they were for taking our present federal system as the basis of their proceedings, and as far as experience had shewn us that there were defects, to remedy those defects, as far as experience had shewn that other powers were necessary to the federal government, to give those powers—They considered this, the object for which they were sent by their State, and what their States expected from them—They urged, that if after doing this, experience should shew that there still were defects in the system (as no doubt there would be) the same good sense that induced this convention to be called, would cause the States when they found it necessary to call another; and if that convention should act with the same moderation, the members of it would proceed to correct such errors and defects as experience should have brought to light—That by proceeding in this train, we should have a prospect at length of obtaining as perfect a system of federal government, as the nature of things would admit. On the other hand, if we, contrary to the purpose for which we were intrusted, considering ourselves as master-builders, too proud to amend our original government, should demolish it entirely, and erect a new system of our own, a short time might shew the new system as defective as the old, perhaps more so—Should a convention be found necessary again, if the members thereof acting upon the same principles, instead of amending and correcting its defects, should demolish that entirely, and bring forward a third system, that also might soon be found no better than either of the former, and thus we might always remain young in government, and always suffering the inconveniences of an incorrect, imperfect system. But, Sir, the favourers of monarchy, and those who wished the total abolition of State governments, well knowing that a government founded on truly federal principles, the basis of which were the Thirteen State governments, preserved in full force and energy, would be destructive of their views; and knowing they were too weak in numbers, openly to bring forward their system, conscious also that the people of America would reject it if proposed to them, joined their interest with that party, who wished a system, giving particular States the power and influence over the others, procuring in return mutual sacrifices from them, in giving the government great and undefined powers as to its legislative and executive, well knowing that by departing from a federal system, they paved the way for their favourite object, the destruction of the State governments, and the introduction of monarchy—And hence, Mr. Speaker, I apprehend, in a great measure, arose the objections of those honorable members Mr. Mason and Mr. Gerry.6 In every thing that tended to give the large States power over the smaller, the first of those gentlemen could not forget he belonged to the ancient dominion, nor could the latter forget that he represented Old Massachusetts; that part of the system which tended to give those States power over the others, met with their perfect approbation; but when they viewed it charged with such powers as would destroy all State governments, their own as well as the rest—when they saw a president so constituted as to differ from a monarch, scarcely but in name, and having it in his power to become such in reality when he pleased; they being republicans and federalists as far as an attachment to their own States would permit them, they warmly and zealously opposed those parts of the system. From these different sentiments, and from this combination of interest, I apprehend, Sir, proceeded the fate of what was called the Jersey resolutions, and the report made by the committee of the whole house. The Jersey propositions being thus rejected, the convention took up those reported by the committee, and proceeded to debate them by paragraphs7—It was now that they who disapproved the report found it necessary to make a warm and decided opposition, which took place upon the discussion of the seventh resolution, which related to the inequality of representation in the first branch.—Those who advocated this inequality, urged, that when the articles of confederation were formed, it was only from necessity and expediency that the States were admitted each to have an equal vote; but that our situation was now altered, and therefore those States who considered it contrary to their interest, would no longer abide by it. They said no State ought to wish to have influence in government, except in proportion to what it contributes to it; that if it contributes but little, it ought to have but a small vote; that taxation and representation ought always to go together; that if [138]one State had sixteen times as many inhabitants as another, or was sixteen times as wealthy, it ought to have sixteen times as many votes; that an inhabitant of Pennsylvania ought to have as much weight and consequence as an inhabitant of Jersey or Delaware; that it was contrary to the feelings of the human mind—what the large States would never submit to; that the large States would have great objects in view, in which they would never permit the smaller States to thwart them; that equality of suffrage was the rotten part of the constitution, and that this was a happy time to get clear of it. In fine, that it was the poison which contaminated our whole system, and the source of all the evils we experienced.8 This, Sir, is the substance of the arguments, if arguments they can be called, which were used in favour of inequality of suffrage.—Those, who advocated the equality of suffrage, took the matter up on the original principles of government—They urged that all men considered in a state of nature, before any government formed, are equally free and independent, no one having any right or authority to exercise power over another, and this without any regard to difference in personal strength, understanding, or wealth—That when such individuals enter into government, they have each a right to an equal voice in its first formation, and afterwards have each a right to an equal vote in every matter which relates to their government—That if it could be done conveniently, they have a right to exercise it in person—Where it cannot be done in person but for convenience, representatives are appointed to act for them, every person has a right to an equal vote in choosing that representative who is entrusted to do for the whole, that which the whole, if they could assemble, might do in person, and in the transacting of which each would have an equal voice—That if we were to admit, because a man was more wise, more strong, or more wealthy, he should be entitled to more votes than another, it would be inconsistent with the freedom and liberty of that other, and would reduce him to slavery—Suppose, for instance, ten individuals in a state of nature, about to enter into government, nine of whom are equally wise, equally strong, and equally wealthy, the tenth is ten times as wise, ten times as strong or ten times as rich; if for this reason he is to have ten votes for each vote of either of the others, the nine might as well have no vote at all, since though the whole nine might assent to a measure, yet the vote of the tenth would countervail, and set aside all their votes—If this tenth approved of what they wished to adopt, it would be well, but if he disapproved, he could prevent it, and in the same manner he could carry into execution any measure he wished contrary to the opinion of all the others, he having ten votes, and the other all together but nine—It is evident, that on these principles, the nine would have no will nor discretion of their own, but must be totally dependent on the will [139]and discretion of the tenth, to him they would be as absolutely slaves as any negro is to his master.—If he did not attempt to carry into execution any measures injurious to the other nine, it could only be said that they had a good master, they would not be the less slaves, because they would be totally dependent on the will of another, and not on their own will—They might not feel their chains, but they would notwithstanding wear them, and whenever their master pleased he might draw them so tight as to gall them to the bone. Hence it was urged the inequality of representation, or giving to one man more votes than another on account of his wealth, &c. was altogether inconsistent with the principles of liberty, and in the same proportion as it should be adopted, in favour of one or more, in that proportion are the others inslaved—It was urged that though every individual should have an equal voice in the government, yet, even then superiour wealth, strength or understanding, would give great and undue advantages to those who possessed them. That wealth attracts respect and attention; superior strength would cause the weaker and more feeble to be cautious how they offended, and to put up with small injuries rather than to engage in an unequal contest—In like manner superior understanding would give its possessor many opportunities of profiting at the expence of the more ignorant.—Having thus established these principles with respect to the rights of individuals in a state of nature, and what is due to each on entering into government, principles established by every writer on liberty, they proceeded to shew that States, when once formed, are considered with respect to each other as individuals in a state of nature—That, like individuals, each State is considered equally free and equally independent, the one having no right to exercise authority over the other, though more strong, more wealthy, or abounding with more inhabitants—That when a number of States unite themselves under a federal government, the same principles apply to them as when a number of individual men unite themselves under a State government—That every argument which shews one man ought not to have more votes than another, because he is wiser, stronger or wealthier, proves that one State ought not to have more votes than another, because it is stronger, richer, or more populous—And that by giving one State, or one or two States more votes than the others, the others thereby are enslaved to such State or States, having the greater number of votes, in the same manner as in the case before put of individuals where one has more votes than the others—That the reason why each individual man in forming a State government should have an equal vote is, because each individual before he enters into government is equally free and independent—So each State, when States enter into a federal government, are entitled to an equal vote, because before they entered into such federal government, each State was equally free and [140]equally independent—That adequate representation of men formed into a State government, consists in each man having an equal voice either personally, or if by representatives, that he should have an equal voice in choosing the representative—So adequate representation of States in a federal government, consists in each State having an equal voice either in person or by its representative in every thing which relates to the federal government—That this adequacy of representation is more important in a federal, than in a State government, because the members of a State government, the district of which is not very large, have generally such a common interest, that laws can scarcely be made by one part oppressive to the others, without their suffering in common; but the different States composing an extensive federal empire, widely distant, one from the other, may have interests so totally distinct, that the one part might be greatly benefited by what would be destructive to the other. They were not satisfied by resting it on principles; they also appealed to history—They shewed that in the amphyctionic confederation of the Grecian cities, each city however different in wealth, strength, and other circumstances, sent the same number of deputies, and had each an equal voice in every thing that related to the common concerns of Greece. It was shewn that in the seven provinces of the United Netherlands, and the confederated Cantons of Switzerland, each Canton and each province have an equal vote, although there are as great distinctions of wealth, strength, population, and extent of territory among those provinces and those Cantons, as among these States. It was said, that the maxim that taxation and representation ought to go together, was true so far, that no person ought to be taxed who is not represented, but not in the extent insisted upon, to wit, that the quantum of taxation and representation ought to be the same; on the contrary, ⟨the quantum of representation depends upon the quantum of freedom, and therefore all, whether individual States, or individual men, who are equally free, have a right to equal representation⟩9—That to those who insist that he who pays the greatest share of taxes, ought to have the greatest number of votes; it is a sufficient answer to say, that this rule would be destructive of the liberty of the others, and would render them slaves to the more rich and wealthy—That if one man pays more taxes than another, it is because he has more wealth to be protected by government, and he receives greater benefits from the government—So if one State pays more to the federal government, it is because as a State, she enjoys greater blessings from it; she has more wealth protected by it, or a greater number of inhabitants, whose rights are secured, and who share its advantages. (To be continued.)"
