Format,Excerpt,Author,Recipient,Publisher,Reply To,Date,Quote
Letter,Yes,Thomas Dwight,Nathan Dane,,,9/25/1787,"We have just received the doings of the Grand Convention, or what we suppose to be such, altho unauthenticated by any name or names, and without any prefatory address—it is in my opinion, very doubtful whether the people of this State will adopt this or any other system until it be accompanied with the ultima ratio regum2—I wish I may be erroneous in my conjectures— The insurgents of this and most of the other Counties of the State have taken the oath of allegiance—but with as ill a grace as possible—as they did it on the last day limited and allowed by Govt. for that purpose—so much milk-&-water mercy has our present administration shewn and so far have they gratified the wishes of the mobility, that many of that (now respectable) body in this part of the Commonwealth have hopes—serious hopes of some pecuniary allowances from Govt. for their severe services & sufferings during the last winter—they do not expect it at present but say they “things are coming round right very soon”—Do you not think that we poor supporters of Govt ought to refund what we have received for our services and humbly petition the legislature for an act of indemnity?"
Letter,Yes,Mercy Otis Warren,Catherine Macaulay Graham,,,9/28/1787,"I have my dear Madam postponed writing by several opportunities as I wished for the pleasure of transmiting to you the result of the Grand Convention of the united states.2 every thing has for some time hung suspended in their determinations—I now forward them to you without any comment theron. first because I do not think myself qualified to make any: and in the next place it might not be thought altogether prudent. It is now only three days since the publication of the recommendations of this respectable body has appeared in our papers, almost every one whom I have yet seen reads with attention folds the page with solemnity, & silently wraps up his opinion within his own breast, as if [23]affraid of interrupting that calm expectation that has pervaded all ranks for several months past. Our situation is truly delicate & critical, on the one hand we stand in need of a strong Federal Goverment founded on principles that will support the prosperity & union of the Colonies, on the other we have struggled for liberty & made costly sacrifices at her shrine: and there are still many among us who revere her name too much to relinquish (beyond a certain medium) the rights of man for the Dignity of Goverment. I should be happy to hear the observations of a Lady (who has made politics & Goverment so much the subject of her contemplations) on this new and complicated system: which I suppose will set in motion both the pens & the tongues of the political World. Happy indeed will this country be if a tranquil energetic Goverment can be adopted before the sword is drawn to give it a despotic master. The rumours of war assail our ears from the European shores, if the flames should really kindle there, I hope they will not spread beyond the ocean: unless internal feuds should rise to such a height as to lead the benevolent heart to wish for some foreign object to divert the General attention, & again convince this continent that we stand or fall together.…"
Letter,Yes,James Sullivan,Rufus King,,,9/28/1787,"Dear King I wrote you the last post my Sentiments in general of the report of the convention and now have yours of the 20th wherein you request my free and candid opinion upon it. I do by no means retract what you will have before this reaches in my other Letter. I consider it to be of the highest importance to have a federal Government and should this be not adopted I shall despair of having one excepting it arises from the chance of war. there are several things in the report that upon the stinted veiw I have of the subject I should wish to be altered or explained in the eighth Article Congress are impowered to “Lay and collect taxes[”] it is not ascertained what is here meant by taxes if what we Call dry taxes, a tax on polls & Estates by a census I do not see how it can be carried into Execution Congress can never appoint Collectors assessors &c besides there would be great confusion between the doings of their officers and those of particular States, had the provision been that Congress should apportion such taxes as should be necessary to the Common defence (over and above the Revenue) on the Several States and provision had been made to coerce a compliance it would have been in my opinion better.2 In the Judic[i]al power the Court is to have authority to try all causes between a State and Citizen of another State and between Citizens of different States, and one Supreme Court to be over the united States—this appears to me in the first instance to lay the particular States under very great inconveniences a debtor, defective Collector, Trespasser &c, may fly one State to another and thereby involve the State he has fled from or Trespassed against in very great cost and Trouble, Evade a trial according to the Law which governed the Contract when made, or the Lands or Chattels Trespassed upon and great delay fraud & injustice may be the consequence in the other case can it be right that every contract or note of hand between Citizens of different States in this wide commercial Country shall be tried in the Judic[i]al of the Congress?3 These objections have weight in my mind I shall not mention them to any one here because I beleive they must have been agreed to on an equivalent given which I do not see besides I am for accepting the report I hear no objection to it here yet, I came from NyPort to Day the people there are much in favour of it but what turn it may take when the objections of the gentlemen who did not Sign it are known I cannot Say— I am Dear Sir with the purest Friendship Your most Hble Sevt"
Newspaper,No,,,Massachusetts Gazette,,10/9/1787,"The following remarks are handed to us by a correspondent as being very serious difficulties in the way of the new confederation, notwithstanding the pains which have been taken to prove, that it could not contain any thing wrong.— A confederation, for purposes merely national, would undoubtedly be exceedingly beneficial to these states. Every one should, however, be indulged in a free, but decent, examination of every proposed form. In general, publick business would go on smoothly when the mode of doing it is conformable to the habits of the people, and when employment is found for their activity. Let us upon these principles review the newly proposed federal constitution. The several states are to be represented by a small number of persons, who, during the long period for which they are to be chosen, will be invested with almost every branch of legislative authority, and will generally reside without the states represented by them. Their authority will extend not only to the foreign commerce but to the internal economy of the states. They are to keep up armies within the states at all times, and to have the sole power of calling the militia into service, excepting the case of foreign invasion. The states therefore lose the right of compelling the obedience of their own subjects. No state will be able to pay its debts otherwise than by a dry tax; imposts and excises being applied wholly to continental purposes. The several states are not allowed to certify their own debts, even without making their bills a tender. Titles of land in many cases are to be tried by a continental court. This gives the national government unequal authority in different states, and creates different interests. Some states will lose their whole jurisdiction over real estates; and the large state of Vermont will be excluded from the union. These are great difficulties and ought to be well weighed before the system is adopted, which will forever put it out of our power to remedy them, otherwise than by force of arms. Our people are every day coalescing under a wise and moderate, but firm, government. Let us not hastily divide them. Thanks are due to the gentlemen who have come so near the truth in a matter of such importance to us all. But it will probably be found necessary to have this system carefully revised and corrected, before it will be perfect, and be likely to promote the happiness of any state in the union; as it does not at present conform to their established habits."
Letter,Yes,Nathan Dane,Caleb Strong,,,10/10/1787,"You have seen, I suppose, the resolution of Congress relative to the new Constitution. It was considered as an entire new system, on its passage from the Convention to the people, and altogether extraneous to the powers of Congress. The warmest friends of it appeared to be extremely impatient to get it thro Congress, even the first day that it was taken up. They wanted Congress to approve of it, but objected to any examination of it by paragraphs in the usual mode of doing business. Very few members wanted any alterations and after two days’ debates Congress unanimously agreed the proper measure was to transmit it to the states to be laid before conventions of the people. Had Congress been of opinion that it was a subject within their cognizance, and taken time to examine it as so respectable a body ought always to do [in] such important cases, I think it is highly probable that Congress would have very fully approved of the plan proposed, and on the principles which actuated the Convention."
Letter,No,John Quincy Adams,William Cranch,,,10/14/1787,"Since politics is the word, let politics rule the roost. I have now before me the plan for the federal constitution, and will at length discuss it with you;—your objections so far as they go may be valid or not, but mine, are not to any like particulars merely but to the whole plan itself—but as the objections to the whole Can only arise, from summing those to its different parts, I will go through in order. In the § 2. of Article 1. it is said that the representatives shall be chosen every second year by the people, but why every second year? why cannot the elections be annual? why may not the people of any state at any time recall their representatives, for misbehaviour, and send others? under these restrictions we have hitherto sent delegates to congress, and we have never found any inconveniency in consequence of them. Our delegation has always been exceeding good, and the people have never abused their power in this respect by recalling a member without sufficient cause: they have indeed never used it all; because it has never been necessary to use it. and where is the necessity of making [73page icon]alterations, where no defect is proved? It may be said there is an essential difference, between a member of congress at present who is elected by the legislature, and a representative, who will be elected by the people: this may be: but the probability is that they will be the same persons. Who does our legislature appoint as members of congress? Men of reputation, & influence; known all over the Commonwealth. And who else, can the people ever elect to serve as their representatives in a future congress?— § 4. Why must congress have the power of regulating the times, places, and manner of holding elections; or in other words, of prescribing the manner of their own appointments. This power is insidious, because it appears trivial, and yet will admit of such construction, as will render it a very dangerous instrument in the hands of such a powerful body of men. § 9. How will it be possible for each particular State to pay its debts, when the power of laying imposts or duties, on imports or exports, shall be taken from them—By direct taxes, it may be said. But such taxes are always extremely unpopular, and tend to oppress the poor people. Besides which the Congress will have power to lay & collect such taxes of this kind as they shall think proper, by which means the people, will naturally complain of being doubly taxed, and their grievances will become real instead of being imaginary, as they have been hitherto. With respect to the Powers granted to the Congress in the 8th: § I cannot think with you, that they are necessary for preserving and maintaining the union.—It is yet to be proved that such powers are necessary for any body of men at the head of the union; but if this point be admitted, it is a great uncertainty, whether such a Congress as is proposed ought to have these powers.—The Senate you say, is to be the aristocratic branch of the legislature.—It ought then, not only to be a body totally distinct from the house of representatives, but they ought to be men of a different description; men of more, influence, either from their, talents, reputation or opulence; but as I have already observed, the representatives chosen by the People, will be naturally men of the same kind and description with those chosen by the legislature; and consequently the two bodies of men will be too much alike, their interests will be too much united, for them to be the checks upon one another, which they are intended to be; their interests will be alike, but will they be the interests of the people? It is easy to answer this question in the affirmative; but not so easy perhaps to prove it. And if the interests of Congress and the interests of the people should ever greatly [74page icon]militate, what would be the consequences?—Can you without shuddering, answer this question?2 It is said that after all the powers of this Congress, are not more extensive than those of our State Legislature; and therefore that they are not more dangerous. In the first place I deny the fact, and in the second place, if that were true the conclusion would be false.—The sixth article of the Confederation is full of great restraints upon our State legislature,3 from which the Congress will be wholly exempted: every one of our sister States, is a powerful check upon our own legislature: but what checks would they be to the powers of our Congress? you might as well attempt with a fisherman’s skiff to stem a torrent, but admit that the powers are the same; in whose hands are they deposited? In this state 400,000 men are represented by near 300. at Congress 3000,000 will be represented by 65. here there are 31 senators & 9 counsellors; there, there would be only 26 Senators.—will any one pretend to say that the same powers, would not be more dangerous in this Congress? But to crown the whole the 7th: article, is an open and bare-faced violation of the most sacred engagements which can be formed by human beings. It violates the Confederation, the 13th: article of which I wish you would turn to, for a complete demonstration of what I affirm; and it violates the Constitution of this State,4 which was the only crime of our Berkshire & Hampshire insurgents.5 As a justification for this, it is said, that in times of great distress and imminent danger, the Constitution of any country whatever must give way; and that no agreements can be put in competition, with the existence, of a nation: but here, in order to apply this proposition, which is undoubtedly true, two points are to be established: the first, that we are now in this tremendous situation, where our very national existence, is at a stake; the second that no better remedy can be found than that of a revolution.—The first it appears to me, no man in his Senses, can pretend to assert: our situation it is true is disagreeable; but it is confessedly growing better every day, and might very probably be prosperous in a few years without any alteration at all. but even if some alteration be necessary, where is the necessity of introducing a despotism, yes, a despotism: for if there shall be any limits to the power of the federal Congress, they will only be such as they themselves shall be pleased to establish. These are my general objections to the scheme: they may be erroneous; or they may be not the most important: but I confess they are such as make me anxious for the fate of my country.—If you think me too presuming for mistrusting a plan proposed by men of so much [75page icon]experience and abilities, as are the members of the late convention, I can only say that my opinion depends not upon my will.—I will moreover confess to you that the defence of the Constitutions,6 is an authority in my mind, and has had considerable influence upon my opinions.—Many passages of that book, will, if true, make very much against the proposed constitution; and I fear the author will be not a little chagrined, when he finds what a revolution has taken place in the sentiments of his countrymen, within these seven years. However, if the federal Congress is to be established in the manner proposed, I can only say that my earnest wish is, that all my fears may be disappointed."
Newspaper,No,Another,,Essex Journal,A Correspondant,10/17/1787,"A CARD, to ‘a Correspondent.’ “WHETHER WE SHALL BE A UNITED NATION OF IMPORTANCE, OR BECOME PETTY ANARCHIES—THAT’S THE QUESTION:” This, Sir, is a great assertion. Are you sure you could throw the Commonwealth into a state of anarchy, if the proposed fœderal Constitution is not adopted? Remember Daniel Shays, about a year ago, expected the seat of government. Let the unprosperous issue of his Adventure be an admonition to all malecontents:—Or dare you predict that anarchy would be the necessary consequence of preserving the present constitution? The extinction of the late Rebellion, and the present tranquility in this state are confounding evidences of your irreverence for the truth.—It is much beyond your fallible penetration to determine what will be the opinion of ‘unbiassed posterity,’ they may think as you do, or very different, if they do not feel as you do. The wisdom of the Convention is not doubted—but they may have erred. It is to be wished their report may have a wise and temperate discussion, and if it will not bear a severe trial, that it may not be adopted. A revolution every seven years must be very expensive and dangerous, and deprive us of the benefits we might derive from even an imperfect Constitution.—It is to be feared you are one of those sanguine gentlemen who think it as easy to form a Constitution & change a government, as it is for you and me to scribble paragraphs for a News-Paper."
Newspaper,No,,,Connecticut Journal,,10/17/1787,"Dear Sir, I received your favor of the 24th ultimo enclosing the doings of the Convention at Philadelphia, directed to His Excellency the President of Congress [in?] three days after the date, which favor I should have highly prized had you not, at the same time, enjoined it upon me to make my objections to them (if any I had), and likewise that I would point out any alterations that may be made in our present Articles of Confederation which will better secure the natural rights, privileges, and liberties of human nature, and at the same time effectually support the authority and dignity of the states, and public faith. I now sit down to perform the first part you have enjoined upon me, but with great reluctance, for reasons I shall assign in my next, which I esteem the most arduous task you have assigned me, which you claim [as?] a debt due both to the public and yourself. My objections to the doings of our Honorable Convention are many. You must excuse me if I do not mention one-half of them. I must be concise—shall mention only those which I conceive are CAPITAL, and would first observe generally: The form of government prescribed is too COMPLEX, couched in terms of many instances doubtful as though there was some art used to cover the full extent of the powers delegated, to be easily understood by all who ought to accept or reject the same; and that the form of government recommended most probably will be attended with greater expense than can be supported by an infant country exhausted of her wealth by the late war and impoverished by our own follies and luxuries since the peace, and the loss of our trade, the recovery of which there is not the least prospect, as restraints are laid upon it by all the powers in Europe, which however I took upon [as] a circumstance much in our favor, as it will gradually serve to disconnect us from the nations of Europe, for I have no desire we should import either foreign LUXURIES or foreign VICES. A gradual decay of our trade must gradually increase our own manufacturers—which must increase industry, which will have a powerful influence to reform our morals. Nothing will promote industry so powerfully as necessity, unless it is cramped by an arbitrary sovereign and despotic government. No man will work with that cheerfulness for his lord, as he will when he knows his earnings are his own, nor do I think this three-branched government will sit easily [on?] the minds of the people, whose peace and quiet must be consulted, or we shall have trouble. The populace or multitude (as they are now called in contempt), when we first opposed British tyranny were complimented by the patriots of that day in halls and under liberty poles as being the fountain and origin from whence all power was derived, will not [sit?] easy under any government where they are deprived of all power, or so fettered in the exercise of what little power is left in their hands as will do them but little service. The chief agents in this new form of government planned out by Convention assume the humble title of President, Senate, and Representatives, but really are vested with the powers of King, Lords, and Commons; and although the government seems to be elective, their stations will be secured as amply, I humbly conceive, as though they were made hereditary, as the rights of the electors appear to be so much fettered, as to leave but little power in the hands of the people. My particular objections are first to the third paragraph in section 2, Article 1, which is in the following words: “Representatives and direct taxes, shall be apportioned among the several states, which may be included in this union, according to their respective numbers, which shall be determined, by adding to the whole number of free persons, including [375]those bound to service for a term of years, and excluding Indians not taxed, three fifths of all other persons.” Was not this form of words thus uncouthly used to avoid using the word Negroes? It certainly looks as though the word Negroes was omitted from the design. It cannot be from any fear of offending that nation of Africans. Why must that man that has 500 slaves in our Southern States, where slaves are looked upon only as personal property, have 300 of them exempted from capitation, while an inhabitant of the Northern States, possessed of the same number of horned cattle, horses, and hogs, be obliged to pay for the whole number? They are all considered as chattels. But to proceed, “The number of representatives shall not exceed one for every thirty thousand, but each state shall have at least one representative: and until such enumeration shall be made, the state of New-Hampshire shall be permitted to chuse three, Massachusetts eight, Rhode-Island and Providence Plantations one, Connecticut five, New-York six, New-Jersey four, Pennsylvania eight, Delaware one, Maryland six, Virginia ten, North-Carolina five, South-Carolina five, and Georgia three.” My objections to this part of the paragraph are that the representation is by far too small to transact the business of so large an empire. Our state assemblies may be annihilated, having nothing to do of importance; the power of taxation being vested in Congress, all other business may be transacted in our town meetings. A large representation has ever been esteemed by the best Whigs in Great Britain the best barrier against bribery and corruption, and yet we find a British king, having the disposition of all places, civil and military, and an immense revenue, SQUEEZED out of the very mouths of his wretched subjects, is able to corrupt the Parliament, to vote him any supplies he demands, to support armies, to defend the prerogatives of his crown, and carry fire and sword by his fleets and armies, to desolate whole provinces in the Eastern World, to aggrandize himself, and satisfy the avarice of his tyrannical subjects. No wonder our American ambassador, struck with the brilliancy of the British Court where everything around St. James’s wears the appearance of wealth, ease, and plenty, should imagine a three-branched legislature only can produce these effects and make the subjects happy, should write a book in favor of such a government and send it over for the illumination of this Western World.2 If this is the sole fruit of his embassy, America will not canonize him for a saint on account of his services, when they have experienced the consequences of such a kind of government as he has planned out. In order to have formed a right judgment, he should have looked into the ditches which serve for graves for many of the human race—under hedges which serve as dreary habitations for the living—into the [376]cottages of the poor and miserable, and critically examine with how much parsimony the mechanics, the day laborers, cottagers, and villagers live in order to support their high-pampered lords, before he had wrote a book to persuade his country to pursue the same road to greatness, splendor, and glory, and have reflected in his own mind, whether he could wish to see that country which gave him birth reduced to the same situation. By this arrangement of representation it seems this large and extensive empire, which in half a century will probably be double in number to the inhabitants of Great Britain, will be governed by 68 Representatives, of which six of the Northern States will be represented by 27 ONLY, and the Southern States by 41. No marvel that three-fifths of the slaves are exempted from capitation in taxation. The Commons of England, if my memory serves me, consists of 5 or 600 or upwards, yet the king of Great Britain, if we may believe their own writers, has it in his power by places and pensions to corrupt a majority of his Commons, that his ministers can carry any vote they think proper to propose to support the dignity of his crown and rapaciousness of his ministers. Therefore, should Congress at any future period grow haughty, insolent, and oppressive, they will have it in their power by places and pensions, which they are amply enabled to establish by the sale of the western lands, which by this Constitution is wholly resigned into the hands of Congress, to be at their disposal, which will be sufficient to corrupt a house of representatives double in number to the Commons of Great Britain. I now would make my objection to section 4th which is in these words: “The times, places, and manner of holding election for senators and representatives shall be prescribed in each state by the legislature thereof; but the Congress may at any time alter or make such regulations, except as to the place of chusing senators.” The plain meaning and understanding of which I take to be this, that Congress gives liberty to the assemblies of each state to make such regulations respecting the time, place, and manner of choosing Senators and Representatives. But if they do not improve it to their liking, they can alter it at pleasure, except the place of choosing. This is a most liberal and extensive favor granted to the assemblies of these states, which Congress can again at any time at pleasure revoke; therefore it will be prudent to use that liberty, and choose such Senators as shall be acceptable to Congress, or they may expect pretty soon to have such rules prescribed them, as to the time and manner, as will better comport with the views and designs of Congress, when modeled according to their NEW PLAN—prescribed by Convention. Passing over many lesser matters, I proceed to section [377]7, which is in these words: “All bills for raising a revenue shall originate in the house of representatives; but the SENATE may propose or concur with amendments as on other bills.” I would here only observe that the Commons of Great Britain will not suffer the House of Lords to make the least alteration in a money bill; however, the Crown has found means to corrupt a sufficient number of the Commons to draw forth the blood and treasure of the nation. I now proceed to section 8, in these words: “The Congress shall have power to lay and collect taxes, duties, and excises to pay the debts, and provide for the common defence and general welfare of the United States.” And the second paragraph of the 3d section, Article 4th, contains these words: “The Congress shall have power to dispose of, and make all needful rules and regulations, respecting the territory and other property belonging to the United States.” By the first recited paragraph, we vest Congress with full power to lay and collect, by their own authority, what taxes, duties, and excises they please; and by the second, we surrender into the hands of Congress all the western territory, of larger extent, I conceive, than the kingdoms of Great Britain and Ireland—the richness of the soil, let those who have seen it declare. But so concise, and so ample a conveyance of such an extent of territory, couched in such smooth and easy language I never before read. I was so struck with the elegance of the style, I never once thought of its being a conveyance of land until I had read it over three or four times. Now I submit it to the good sense of the people of these states, whether it is prudent we should make so liberal and extensive a grant of power and property to any body of men in these United States, before they have ever informed the public the amount of the public debt, or what the annual expenses of the federal government is or will be. It is now almost five years since the peace; and Congress has employed thirteen commissioners, at 1500 dollars per annum, as I am informed, to settle the public accounts, and we know now no more what the national debt is than at the first moment of their appointment. Nor do we know any more what is the amount of the annual expenses of the federal government than we do of the empire of China. To grant therefore such an ample power of taxation, and the right of soil, to the amount of millions, upon the recommendation of this Honorable Convention, without either knowing the amount of the national debt or the annual expenses of government, would not argue, in my opinion, the highest degree of prudence."
Letter,No,Elbridge Gerry,James Warren,,,10/18/1787,"I expected e’er this to have been in Massachusetts but am detained here longer than I expected—I inclose some papers on the subject of the Constitution to be reprinted if you think it convenient. I know not [94]who the authors are of the anonymous peices & it is a Matter of no consequence to the public, the Sentiments are in many respects just, my opinion with respect to the proposed constitution, is, that if adopted it will lay the foundation of a Government of force & fraud, that the people will bleed with taxes at every pore, & that the existence of their liberties will soon be terminated, the wealth of the Continent will be collected in Pennsylvania, where the Seat of the Fœderal Government is proposed to be, & those who will use the greatest address in obtaining an acceptance of this despotic System, will hereafter scourge the people for their folly in adopting it. I shall submit on my return, or by Letter, if I should not leave this City in a few Days, my Reasons to the legislature for dissenting from the Convention, & shall write them by post a short Letter to this effect2— P.S. As the object of the Supporters of the Constitution, is to carry it thro by Surprize, it is hoped that the Legislature of Massachusetts will not propose a Convention till the next Session, & thus give to the people an opportunity to consider of the Constitution before they are called on to adopt it—Colo R H Lee3 informs me, the Judges, all the Bar, & some many of the principal Gentlemen of Virginia are high against this System—"
Letter,No,Elbridge Gerry,General Council,,,10/18/1787,"Gentlemen I have the honor to inclose, pursuant to my Commission, the constitution proposed by the Fœderal Convention.1 To this system I gave my dissent, & shall submit my objections to the honorable Legislature It was painful for me, on a subject of such national importance, to differ from the respectable Members who signed the constitution: but conceiving as I did, that the liberties of America were not secured by the system, it was my duty to oppose it— My principal objections to the plan, are that there is no adequate provision for a representation of the People—that they have no security for the right of election—that some of the powers of the Legislature are ambiguous, & others indefinite & dangerous2—that the executive is blended with & will have an undue influence over the legislature—that the Judicial department will be oppressive—that treaties of the highest importance may be formed by the president with [99]the advice of two thirds of a quorum of the Senate—& that the System is without the Security of a Bill of rights, these are objections which are not local, but apply equally to all the States— As the Convention was called for “the sole & express purpose of revising the articles of confederation, & reporting to Congress & the several Legislatures such alterations & provisions as shall render the fœderal Constitution adequate to the exigencies of Government, & the preservation of the union,”3 I did not conceive that these powers extended to the formation of the plan proposed, but the Convention being of a different opinion, I acquiesced in it, being fully convinced that to preserve the union, an efficient Government was indispensibly necessary; & that it would be difficult to make proper amendments to the articles of confederation. The Constitution proposed has few, if any Fœderal features, but is rather a system of national government: nevertheless, in many respects I think it has great merit, & by proper amendments, may be adapted to the “exigencies of Government” & preservation of Liberty. The question on this plan involves others of the highest importance 1st Whether there shall be a dissolution of the Fœderal Government? 2dly Whether the several State Governments shall be so altered, as in effect to be dissolved? and 3dly Whether in lieu of the Fœderal & state Governments, the national constitution now proposed shall be substituted without amendment? never perhaps were a people called on to decide a question of greater magnitude—should the Citizens of America adopt the plan as it now stands, their liberties may be lost: or should they reject it altogether Anarchy may ensue, it is evident therefore that they should not be precipitate in their decissions; that the subject should be well understood, lest they should refuse to support the Government, after having hastily accepted it. If those who are in favour of the Constitution, as well as those who are against it, should preserve moderation, their discussions may afford much information & finally direct to an happy issue. It may be urged by some, that an implicit confidence should be placed in the Convention: but however respectable the members may be who signed the constitution, it must be admitted, that a free people are the proper Guardians of their rights & liberties—that the greatest men may err—& that their errors are sometimes, of the greatest magnitude. Others may suppose, that the constitution may be safely adopted, because therein provision is made to amend it: but cannot this object be better attained before a ratification than after it? and should a free people, adopt a form of Government, under conviction that it wants amendment? [100] And some may conceive, that if the Plan is not accepted by the people they will not unite in another: but surely whilst they have the power to amend, they are not under the necessity of rejecting it. I have been detained here longer than I expected, but shall leave this place in a day or two for Massachusetts, & on my arrival shall submit the reasons (if required by the Legislature) on which my objections are grounded. I shall only add, that as the Welfare of the union requires a better Constitution than the confederation, I shall think it my duty as a Citizen of Massachusetts to support that which shall be finally adopted, sincerely hoping it will secure the Liberty & happiness of America. I have the Honor to be Gentlemen with the highest respect for the honorable Legislature & yourselves, your most obedt & very hum servt E Gerry"
