Format,Excerpt,Author,Recipient,Publisher,Reply To,Date,Quote
Newspaper,No,A Republican,,New York Journal,Alexander Hamilton,9/6/1787,"“New ways he must attempt, his grov’ling name To raise aloft, and wing his flight to fame.” Dryden.2 [17 Mr. Greenleaf, In Mr. Child’s Daily Advertiser, of the 21st of July, there appeared certain animadversions, on sentiments said to be expressed by his excellency the governour, respecting the Federal Convention.—On the first impressions made by that extraordinary publication, it was the wish of some of my fellow-citizens, that the governour would have made a reply to it; but, on a little reflection, it became the general opinion, that it would be highly improper, in the first magistrate of a respectable state, to enter the list in a newspaper with an anonymous scribler; and it cannot but afford pleasure to find, that it has accordingly been treated by him with silent and merited contempt. It may not, however, be amiss for a private citizen, who feels himself deeply interested in the honour and welfare of the state, to make a few remarks on that production, and to unmask the motives from which it originated. I think proper to premise, that I have but a slight personal acquaintance with the governour, and by no means such an intimacy, as would lead me to a knowledge of his opinion on public measures; whether he entertains the sentiments which that writer alledges, or, whether he ever delivered them in the manner asserted, I am not able to determine, and therefore shall neither attempt to justify or condemn them: I cannot, however, refrain from observing, that it is very extraordinary, that expressions, said to be used in a public company, and currently reported and believed, should never (as far as I have been able to learn) have reached the ear of a single citizen, before they appeared in the Daily Advertiser. The ostensible design of that writer, is, to obviate any wrong impressions, which the conduct he ascribes to the governor, might make upon the public mind.—Let us then enquire, whether his actions correspond with his professions. It must be admitted, that, to justify the publication, the writer ought to have had the most conclusive evidence, that his excellency had (as is asserted) “in public company, and without reserve,” expressed the sentiments ascribed to him, or, at least that it was “currently reported and generally believed” that he had; because, the only evil that could possibly result, must arise from the promulgation of those sentiments; for if they were not known, they could not influence. If the writer then proceeded on misinformation, he occasioned the very evil which he pretends, he was labouring to prevent. That the writer had no such testimony, will appear from his own words, for after stating the facts, he adds, “upon this conduct of his excellency, if he is not misrepresented, the following reflections will naturally occur to every considerate and impartial man.”—Here he very strongly implies a [18]doubt of the truth of the facts, on which he founds his production, while he admits, at the same time, that there could be no real use in his observations, since they would naturally, and without his suggesting them, have occurred to every “considerate and impartial man;” it must consequently appear, that this rude attack, which, by the author’s own admission, could have no other object but to secure the opinion of the prejudiced and inconsiderate, was not the offspring of patriotism. Lest I should be misunderstood, it is here necessary to observe, that I by no means assent to the reasoning of the writer, admitting it to be inferred from uncontrovertible facts; I deny that it is unwarrantable and culpable, in any citizen of a free state, [(]much less in a man, who is from office, one of the guardians of our liberties) freely and unreservedly to express his sentiments on public measures, however serious the posture of our national affairs may be; on the contrary, it is his essential duty; and the more critical our situation, the more loudly he is called upon to perform it, and to approve or disapprove, as he may think the public good directs. Should ever this inherent right be destroyed, it is easy to foresee, that a tyranny must, sooner or later, be the inevitable consequence.—Every attempt then to call it in question, I consider as high treason against the majesty of the people. In governments, conducted by intrigue and deception, and where ignorance is their chief support, candour will be arraigned as a vice, and reservedness construed into wisdom.—We ought to esteem it one of our greatest blessings, that the administration of our government does not depend upon such shallow and feeble artifices. There is something extremely novel and singular in the manner, the performance under consideration is introduced, which cannot have escaped notice, and which must lead to a discovery of the spirit that dictated it.—It is founded on a report, of the truth of which, the writer himself expresses his doubts: is not this a refinement upon the system of slander? by adopting this new-invented mode of detraction, the reputation of any man, or family, may be wounded; nothing more is necessary than to have a malicious report circulated, which it will be easy to effect, by characters unworthy of notice, and then insert it in a newspaper, with an if it is not a misrepresentation, and deduce the most injurious traductions; and such is the depravity of human nature, that where party-spirit prevails, these productions will be read with pleasure, and command the applause of the malignant mind. It might have been wise in the author, to have reflected, that however elated with his situation, connections and prospects, they do not exempt him from the ungenerous attack. [19] An eminent author has predicted, that the opulent and ambitious, would never rest contented with the equality established by our democratic forms of government. This was the case in the once free states of Athens and of Rome; the wealthy were continually harrassing and injuring the poor;—the eloquent were frequently luring them to destruction, by their pernicious orations. The ambitious were always at work to circumvent, and deprive them of their freedom. And they, unhappy people, were finally plunged into slavery. That this prediction, is already in some measure realized, must be obvious to every man of the least discernment; (it cannot admit of a doubt, that a certain lordly faction exists in this state, composed of men, possessed of an insatiable thirst for dominion, and who, having forfeited the confidence of their fellow-citizens, and being defeated in their hopes of rising into power, have, for sometime past, employed themselves with unremitted industry, to embarrass every public measure; they reprobate our laws, censure our rulers, and decry our government, thereby to induce the necessity of a change, that they may establish a system more favorable to their aristocratic views, in which, honors and distinction shall not depend upon the opinion and suffrages of the people: every drone, every desparate debtor, and every other worthless character, though a despot in principle, even though he has drenched his hands in the blood of his fellow-citizens, that enlist under their banners, are received with applause, and dubbed patriots and federal men: no measure, which low cunning can devise, or wicked exertion effect, is omitted to ensure the attainment of their wishes; every virtuous man, who dares to stand in the way of their ambitious and arbitrary projects, becomes the victim of their keenest resentment, and is devoted to destruction—hence we find our newspapers daily disgraced with calumny, personal scurrility and falsehood)3—and hence we can trace the motives which influenced this writer. I shall conclude with a few lines from the works of the celebrated Churchill, and leave the application to the reader.4 “Smit with the love of honor, or the pence, O’er-run with wit, and destitute of sense, Legions of factious authors throng at once; Fool beckons fool, and dunce awakens dunce. To Hamilton’s the ready lies repair; Ne’er was lie made which was not welcome there. Thence, on maturer judgment’s anvil wrought. The polish’d falsehoods into public brought; [20] Quick circulating slanders mirth afford, And reputation bleeds in ev’ry word.”"
Newspaper,No,An Old Soldier,,Lansingburgh Northern Centinel,,9/10/1787,"Messrs. Printers, That every person who has been any way active in opposing British tyranny, and establishing the freedom, independence, and liberty of the rising EMPIRE of AMERICA,—has secret enemies, I believe is not doubted:—⟨That there are scattered throughout the United States, private emissaries of Britain, in order to sow the seeds of division and discontent among the people, is generally acknowledged:—And Britain has not yet learnt to relinquish their favorite idea [24]of subduing and reducing to abject slavery the free born sons of Columbia; they yet hope, by our folly and want of union among ourselves, to have an opportunity of subjugating us to their tyrannical sway.—A proof of this I observed in your Centinel, No. 16. in an “Impromptu, on reading in a late Centinel of Gov. Clinton’s insurgency and anti-federalism,” wherein the chief magistrate of this state is charged, by some incendiary, with an intention of treason against the United States; consequently to subvert a government he has uniformly, from the commencement of the late war, endeavoured, by every exertion in his power, to establish.—In the most gloomy hours of our warfare, who more readily drew his sword in our defence?—Who was more unwearied in his endeavours to defeat the vain attempts of our enemies to subdue us. Every one who knows his excellency’s character, and is in any way acquainted with his conduct, must be convinced that he has rendered this country great and essential services, both in his civil and military capacities; and I think it the height of ingratitude to villify a character, which ought to be esteemed, and even revered, for his services.—if he is guilty of the charge exhibited in the Centinel, or any other against the people, let the author step forth, as a freeman, and boldly make them good;—if he is guilty by our laws, let him suffer;—if innocent, and still the faithful servant of the public we have ever found him—for God’s sake let us not traduce a character so valuable to us, but by every means in our power, support him in all measures tending to the general good of our country, and let us ever detest those vile incendiaries, who (under British influence) secretly endeavour to sow the seeds of division, discontent and distrust among us.⟩ Confidence in our rulers will make us a great and happy people; a want of it will be our ruin. Our magistrates are not elected for life—we can change them when they act inconsistent with our welfare; but let us weigh and examine well their conduct before we dismiss them, least we repent our change, on proving those who are untried. Lansingborough, Sept. 7, 1787."
Newspaper,No,Rusticus,,New York Journal,,9/13/1787,"Mr. Greenlaf, I cannot but express my indignation at the many illiberal publications, which constantly crowd our newspapers, on the subject of politics. [25 It seems, by these publications, to be highly criminal, especially at this particular period, for any man to differ in opinion from a certain Aristocratic junto, who appear determined, by their writings, to silence, and traduce every person who will not subscribe to every part of their political creed. In a free country, as this is, every man has an indubitable right to think for himself, and to express his approbation or disapprobation of public measures, when ever he supposes them consistent or inconsistent with the interest and happiness of the people. If this is not the case, then have we been fighting for a shadow, and lavishing our blood and treasure to very little purpose. We are frequently informed by this junto, or their adherents, that the present Convention, in Philadelphia, is composed of the wisest and best characters in the United States, and that it is next to high treason to lisp a suspicion, that such a band of patriots can possibly recommend any system, or measure, inconsistent with the liberty, interest, and happiness, of those whom they represent. I am very sensible that there are many such characters in that honorable assembly as these writers have mentioned; but at the same time, it is well known, that there are too many of a very different character; perfect Bashaws! (saving a want of power) who would trample on the most sacred rights of the people, without the least reluctance or remorse; men who are possessed of the highest opinion of their own superlative, excellence, and importance; and who have worked themselves into a belief, that Heaven hath formed the bulk of mankind, to be mere slaves and vassals, to men of their superior genius, birth, and fortune. The greatest part of the publications alluded to, are artfully calculated to prepare the minds of the people, implicitly to receive any form of government that may be offered them. If this is not the design, why anticipate? If the Convention recommend such measures as are not inconsistent with the union, but those that will promote the general interest of the confederation, and secure the essential rights of the people, every good and virtuous citizen will not only subscribe to them, but use all his influence; nay, strain every nerve to carry them into effect. A paragraph has been introduced, as an article of intelligence, into the Daily Advertiser, and the papers published in this city, which was said to have been received from one of the counties in Pennsylvania, asserting, that the good people of that state are ready to receive, and implicitly acquiesce, in any kind of government that may be offered them by the Convention.2—This is paying but a poor compliment indeed, either to their understanding, or patriotism; and although it is [26]asserted with so much confidence, I have too good an opinion of them, and the rest of my fellow-citizens, on the continent, to suppose, that such an enlightened people, who made so many strenuous exertions during the late war, to free themselves from the tyranny of Britain, can possibly be sunk into such a state of supineness, and so regardless of the essential interests of themselves, and their posterity, as to receive any form of government, that will not effectually secure their just rights and privileges, let it be recommended by any man, or, body of men, however wise, learned, or dignified. Queens-County, September 10, 1787."
Newspaper,No,Anti-Defamationis,,New York Journal,,9/20/1787,"Mr. Greenleaf. With great indignation I have observed several publications that have lately appeared, reflecting, in a most illiberal manner, on the Governor of this state, on account of some accidental expressions, concerning the Convention at Philadelphia; particularly one under the signature of Aristides, in the Daily Advertiser, No. 794. [30 For my part, I am not personally acquainted with the Governor, or with Col. Hamilton, and of course cannot be influenced by any undue partiality to either, but I cannot help thinking that the former (even admitting the assertions against him to be strictly true) has been very ill used. I must beg leave to ask Aristides the following questions: 1st. Why should the Governor, or any other man, in a free state, be precluded from the privilege of speaking his sentiments in a matter of general concern? 2d. Why should the Governor, or any other man, be reprobated for differing in sentiment from a majority in Congress, or legislature of the state? It is foreign to my purpose, at this time, to enter into a particular discussion, concerning the propriety of the appointment of the Convention at Philadelphia; but was I fully persuaded that their appointment was ill judged, and that much evil instead of good would result from their deliberations, I should conceive myself highly criminal in not communicating my ideas, although they might differ from the prevailing opinion. The free citizens of this continent will never consent to have a constitution crammed down their throats. They have an undoubted right to examine before they accede, and to deny if they do not approve. Although much is to be expected from the wisdom of the Convention in forming the constitution worthy of being received; it is still to be remembered, that the wisest men have often been guilty of very capital errors, and that, “notwithstanding the various forms of government hitherto recommended to the observance of men, very few are rendered better.[”] If, therefore, our worthy Governor, or any other man, conceives, that by attempting a cure, the malady will be increased, it becomes his duty, as far as in him lies, to stem the tide of congressional, legislatorial, or popular prejudice. But the design of Aristides and his colleague, in thus endeavouring, by unjust stigmas and innuendoes, to cast an odium on our Governor, is too obvious to be concealed. I must tell him plainly, that his trick wont take. The people are not so easily gulled. Let him forward his squibs to a certain northern county, where they may be useful to his friends at some future day; but here, and in other parts of the state, where the people have too much wisdom and spirit to be imposed upon, or browbeaten, they will only serve to bring the author, and his connections, into contempt."
Newspaper,No,Inspector,,New York Journal,Alexander Hamilton,9/20/1787,"Mr. Greenleaf, I have in general observed, that the most sensible men are usually modest and reserved, and that a man of consummate impudence, with but a moderate share of understanding, moves in the world with the greatest eclat; but although the world may some times over-rate a shallow capacity, it is often-times undeceived by a man’s vanity leading him a step too far in his ridiculous sallies. A man’s knowledge is frequently over-rated in vulgar estimation in consequence of his having a memory good enough to retain a number of harmonious words which he can retail out at pleasure.—I know a negro who cannot read, and yet can deliver an extempore rhapsody that will captivate weak minds, and give not offence, even to the ears of intelligent men.1 I have also known an upstart attorney, palm himself upon a great and good man, for a youth of extraordinary genius, and under the shadow of such a patronage, make himself at once known and respected; but being sifted and bolted to the brann, he was at length found to be a superficial, self-conceited coxcomb, and was of course turned off, and disregarded by his patron.2 I have known a blockhead publish pamphlets with borrowed phrases and arguments, by which he acquired a reputation he never was entitled to.3 I have also known a man publish pieces of his own composition, [32]which, on examination, I have found to be mere froth, calculated only to bewilder the understanding. I have a son, who is a lad of tolerable capacity, and great shrewdness. This boy, who is about 12 years old, reads the Newspapers to me, every morning; I have taught this young shaver to turn all the frothy publications he meets with, into plain English, and, as a specimen of his improvement, I shall give you his interpretation of a piece which appeared a few days ago in the Daily Advertiser, written in the Creolian taste, by Tom S**t, a mustee, viz.= “Mungo here, Mungo there, Mungo every where, What a terrible life am I led.” Padlock.4 “My dear masters, I am indeed leading a very hard life in your service; you are driving me from post to pillar, without paying me for my trouble, and I could earn ten times as much by working at home. Consider the great sacrifices I have made for you; by birth a subject of his Danish Majesty;5 I quitted my native soil in the Torrid Zone, and called myself a North American for your sakes.—I have since, not only ranted for you, and jockeyed for you, but even vouchsafed to give my august name to Phocion, a patriotic essay, manufactured by W. S. Esquire,6 and sent from England just after the evacuation, under cover to Chrononhotontologos, the king’s printer:7 you have therefore scarcely done me justice, in simply giving me your suffrages, when I stood in need of them, to pave the way for my future agrandizement. I must however remember with gratitude, that when my ambition led me to become an honorary member of the whig Society,8 I was not disappointed. My daddy, who was present to make interest for me, can evidence with how much chearfulness I was voted in. “The important services I have rendered you, deserve much more than you will ever be able to pay me. I shall however be satisfied, with your compliance with one moderate request, which is, that you will be kind enough to discharge your old faithful steward George (who is grown so saucy, as to speak his mind without fearing any body) and put me, or my immaculate daddy, in his place. “I am sorry you oblige me to speak so plainly, but I am constrained to do it, since your contempt and little notice taken of any late anonymous advertisement, convinces me, that you will not take a broad hint.”   TOM S**T. I have not leisure, at present, sir, to animadvert on the above curious performance, but shall conclude with a maxim of a great Philosopher which you will know how to apply. [33] Those actions which are denominated virtuous, have not any absolute and independent, but a relative beauty; and the source from which they derive their lustre, is the intention which guided them: if well intended, whether they produce good, or evil, they are equally virtuous: the producing good or evil are the accidents; the intention to produce good, is the essence of virtue."
Letter,Yes,Elting & Varick,Peter Van Gaasbeek,,,9/25/1787,"… The New Constitution is the Topick of the day and seems aproved of by many. Others wish some alterations, but it seems a Majority here will reather adopt it than remain without [turn].… N.B. from what I have said of the New Constitution you may be induced to think them my se[n]timents also on that Subject, My musing then was only to give you the most prevaling opinion of this City, which perhaps may Change in some shape on more Mature Consideration, (for my part I sincerely wish for a Revisal of the Confediricy) as I feel satisfied that the present is defeciant, But Cannot consent to give the President power to Call the Militia of any State in the field to any part of the United States and keep them their for any unlimited time without the Indulgence of Even furnishing a Substitute, (and that it may hereafter be granted by Congress, that the President shall have the sole appointment of all officers,) is such a barefaced attack upon our Liberties that I cannot reconcile to it, these two instances onely in my Opinion are sufficient to Inslave us in time to the worst of Tyranny—time will not permit me to add any more at present"
Letter,Yes,,,Independent Gazetteer,,9/26/1787,"Extract of a letter from a Member of Congress. dated New-York, September 23, 1787. “… There will be some difficulty in getting it adopted in New-York—the government has already discovered strong marks of disapprobation, and its adherents are constantly employed in disseminating opinions unfavorable to its reception—but all their attempts will be unavailing, as the body of the people will clearly view their own interests, as intimately connected with the establishment of this new government.…”"
Newspaper,No,Cato,,New York Journal,,9/27/1787,"To the Citizens of the State of New-York The Convention, who sat at Philadelphia, have at last delivered to Congress that system of general government, which they have declared best calculated to promote your safety and happiness as citizens of the United States. This system, though not handed to you formally by the authority of government, has obtained an introduction through divers channels: and the minds of you all, to whose observation it has come, have no doubt been contemplating it; and alternate joy, hope, or fear have preponderated, as it conformed to, or differed from, your various ideas of just government. Government, to an American, is the science of his political safety—this then is a moment to you the most important—and that in various points—to your reputation as members of a great nation—to your immediate safety, and to that of your posterity. In your private concerns and affairs of life you deliberate with caution, and act with prudence; [60]your public concerns require a caution and prudence, in a ratio, suited to the difference and dignity of the subject. The disposal of your reputation, and of your lives and property, is more momentous than a contract for a farm, or the sale of a bale of goods; in the former, if you are negligent or inattentive, the ambitious and despotic will entrap you in their toils, and bind you with the cord of power from which you, and your posterity, may never be freed; and if the possibility should exist, it carries along with it consequences that will make your community totter to its center: in the latter, it is a mere loss of a little property, which more circumspection, or assiduity, may repair. Without directly engaging as an advocate for this new form of national government, or as an opponent—let me conjure you to consider this a very important crisis of your safety and character—You have already, in common with the rest of your countrymen, the citizens of the other states, given to the world astonishing evidences of your greatness—you have fought under peculiar circumstances, and was successful against a powerful nation on a speculative question—you have established an original compact between you and your governors, a fact heretofore unknown in the formation of the governments of the world—your experience has informed you, that there are defects in the fœderal system, and, to the astonishment of mankind, your legislatures have concerted measures for an alteration, with as much ease as an individual would make a disposition of his ordinary domestic affairs: this alteration now lies before you, for your consideration; but beware how you determine—do not, because you admit that something must be done, adopt any thing—teach the members of that convention, that you are capable of a supervision of their conduct. The same medium that gave you this system, if it is erroneous, while the door is now open, can make amendments, or give you another, if it is required.—Your fate, and that of your posterity, depends on your present conduct—do not give the latter reason to curse you, nor yourselves cause of reprehension; as individuals you are ambitious of leaving behind you a good name, and it is the reflection, that you have done right in this life, that blunts the sharpness of death; the same principles would be a consolation to you, as patriots, in the hour of dissolution, that you would leave to your children a fair political inheritance, untouched by the vultures of power, which you had acquired by an unshaken perseverance in the cause of liberty—but how miserable the alternative—you would deprecate the ruin you had brought on yourselves—be the curse of posterity, and the scorn and scoff of nations. Deliberate, therefore, on this new national government with coolness; analize it with criticism; and reflect on it with candour: if you find [61]that the influence of a powerful few, or the exercise of a standing army, will always he directed and exerted for your welfare alone, and not to the agrandizement of themselves, and that it will secure to you and your posterity happiness at home, and national dignity and respect from abroad, adopt it—if it will not, reject it with indignation—better to be where you are, for the present, than insecure forever afterwards. Turn your eyes to the United Netherlands, at this moment, and view their situation; compare it with what yours May be, under a government substantially similar to theirs.2 Beware of those who wish to influence your passions, and to make you dupes to their resentments and little interests—personal invectives can never persuade, but they always fix prejudices which candor might have removed—those who deal in them have not your happiness at heart. Attach yourselves to measures, not to men. This form of government is handed to you by the recommendations of a man who merits the confidence of the public;3 but you ought to recollect, that the wisest and best of men may err, and their errors, if adopted, May be fatal to the community; therefore, in principles of politics, as well as in religious faith, every man ought to think for himself. Hereafter, when it will be necessary, I shall make such observations, on this new constitution, as will tend to promote your welfare, and be justified by reason and truth. Sept. 26, 1787."
Newspaper,No,,,New York Morning Post,,9/28/1787,"Nothing (says a correspondent) is so essential to the happiness of a people, as the possession of a free government. Without this the most fertile country and the mildest climates, become scenes of misery and desolation; but with it, the most rugged regions of the earth are crowned with cheerfulness and plenty. This is one of those important truths of which all men seem to be sufficiently convinced; and yet very few nations have taken care to secure to themselves the inestimable blessing. In all ages, the bulk of mankind have been consigned to slavery and wretchedness. The reason of this is but too obvious. What concerns all men alike, is too often neglected by all; but the private interest of a few, selfish and ambitious individuals, is pursued with unremitted ardour. The wealthy and powerful combine together to make a property of their fellow citizens; and few governments have ever existed, in which a conspiracy has not been formed against the liberties of the people."
Letter,No,Peter Tappen,George Clinton,,,9/28/1787,"We arrived at poughkeepsie on Monday.… I find the New Constitution Sirculating here It has but few warm friends here Wm. Kent2 Doctr. Thomas and Billings3 but the Influence of the Last will not do it much good. I am happy Judge Platt opposes it warmly. I make no doubt but the common people here will generally oppose it. I should think that the Northern part of the County will be for adopting it. I judge from the leading men. I am fearfull that the many Publication in favour will Injure as none publish against. I shall use my Influence as far as I can and hope I have some here.…"
