Format,Excerpt,Author,Recipient,Publisher,Reply To,Date,Quote
Letter,No,Richard Henry Lee,Elbridge Gerry,,,9/29/1787,"According to your request I now enclose you the Amendments that I proposed to the new Constitution. I incline to think, that unless some such alterations & provisions as those are interposed for the security of those essential rights of Mankind, without which liberty can not exist, we shall soon find that the New plan of Government will be far more inconvenient than any thing sustained under the present Government. And that to avoid Scilla we shall have fallen upon Caribdis."
Letter,Yes,Richard Henry Lee,George Mason,,,10/1/1787,"I have waited until now to answer your favor of September 18th10 from Philadelphia, that I might inform you how the Convention plan of government was entertained by Congress. Your prediction of what would happen in Congress was exactly verified. It was with us, as with you, this or nothing; and this urged with a most extreme intemperance. The greatness of the powers given and the multitude of places to be created produces a coalition of monarchy men, military men, aristocrats, and drones whose noise, impudence and zeal exceeds all belief—whilst the commercial plunder of the South stimulates the rapacious trader. In this state of things, the patriot voice is raised in vain for such changes and securities as reason and experience prove to be necessary against the encroachments of power upon the indispensable rights of human nature. Upon due consideration of the Constitution under which we now act, some of us were clearly of opinion that the 13th Article of the Confederation precluded us from giving an opinion concerning a plan subversive of the present system and eventually forming a new confederacy of nine instead of 13 states. The contrary doctrine was asserted with great violence in expectation of the strong majority with which they might send it forward under terms of much approbation. Having procured an opinion that Congress was qualified to consider, to amend, to approve or disapprove, the next game was to determine that tho a right to amend existed, it would be highly inexpedient to exercise that right; but merely to transmit it with respectful marks of approbation. In this state of things I availed myself of the right to amend and moved the amendments, a copy of which I send herewith, and called the ayes and nays to fix them on the Journal. This greatly alarmed the majority and vexed them extremely, for the plan is to push the business on with great dispatch and with as little opposition as possible; that it may be adopted before it has stood the test of reflection and due examination. They found it most eligible at last to transmit it merely, without approving or disapproving; provided nothing but the transmission should appear on the Journal. This compromise was settled and they took the opportunity of inserting the word “unanimously,” which applied only to simple transmission, hoping to have it mistaken for an unanimous approbation of the thing. It states that Congress having received the Constitution unanimously transmit it, etc. It is certain that no approbation was given."
Letter,Yes,Richard Henry Lee,William Shippen Jr.,,,10/2/1787,"I have considered the new Constitution with all the attention and candor that the thing and the times render necessary, and I find it impossible for me to doubt, that in its present state, unamended, the adoption of it will put civil liberty and the happiness of the people at the mercy of rulers who may possess the great unguarded powers given. And I assure you that confidence in the moderation or benignity of power is not a plant of quick growth in a reflecting bosom. The necessary alterations will by no means interfere with the general nature of the plan, or limit the power of doing good; but they will restrain from oppression the wicked and tyrannic. If all men were wise and good there would be no necessity for government or law. But the folly and the vice of human nature renders government and laws necessary for the many, and restraints indispensable to prevent oppression from those who are entrusted with the administration of one and the dispensation of the other. You will see herewith the amendments that appeared to me necessary.12 They are submitted to you and my excellent old friend at Germantown. Perhaps they may be submitted to the world at large. My good old friend has made himself better acquainted with Hippocrates than with Plato, and relying upon the goodness of his own heart, without reflecting upon the corrupting and encroaching nature of power, he is willing to trust to its fangs more than experience justifies. The malady of human nature in these states now seems to be as it was in the years of 1778 and 1779 with respect to the effect produced by a certain combination. The malady that I mean is a temporary insanity. I wish that the present may subside with as little public injury as it formerly did, altho that was not small in all its branches."
Letter,No,Arthur Lee,John Adams,,,10/3/1787,"I enclose you the long expected production of the Convention. I am inclind to think you will deem it somewhat too Aristocratic. An Oligarchy however I think will spring from it in the persons of the President & Vice President, who, if they understand one another, will easily govern the two Houses to their will. The omission of a Declaration of rights—the appointment of a vice President, whose sole business seems to be to intrigue—securing trial by Jury in criminal cases only—making the federal Court original instead of appellent, & that in the case of a Citisen of any State & one of another, & of a foreigner with the citisen of any State—the omission of a Council—& vesting legislative, executive & judicial Powers in the Senate—the making this Senate Counsellors to the President, & Judges on his impeachement which may happen to be for the very thing they have advisd—are errors, if errors, gross as a Mountain. I say if errors, for I am very much inclined to beleive they were designd. Congress, having three States represented by those who were members of Convention & three of the most influential each in three other States, resolvd to send it on without any recommendation, because its opponents insisted upon having their reasons on the Journals if they offerd to recommend it. The States present were—N.H. 2 Convention men—Mass: 2 Convention, one not. Connecticut one Convention one not. N.Y—N Jersey—Pens:—Delaware—Virg: 1 Convention 3 not—N. Car: one Convention one not—S.C. one Conv: 2 not. Georgia 2 Convention. Pensylvania has orderd the State Convention to meet on the 3d Novr. to determine on its adoption. All the other Assemblies will direct Conventions when they meet. From the present appearance of things, it seems probable it will become our Constitution just as is. No opposition is declard to it, but in Virginia where it will be opposd, I imagine by the Govr. R. H. Lee, Mr. Mason & Mr. Henry: & In this State, the Governor2 & all his friends are in opposition. I wish it may be amended & cannot see why it shoud not. My Br. R. H. Lee is here & desires to be affectionately rememberd [35]to you. Please to remember me to Mrs. Adams, Mr. & Mrs. [William Stephens] Smith & to my nephew [Thomas Lee Shippen], to whom I have not time to write."
Letter,No,Benjamin Harrison,George Washington,,,10/4/1787,"Your favor of the 28th ulto2 got to me two days ago: I am particularly oblig’d to you for this additional mark of your friendship, and attention, than which, there are very few things indeed, that can be more acceptable; I feel myself deeply interested in every thing that you have had a hand in, or that comes from you and am so well assured of the solidity of your judgment, and the rectitude of your intentions, that I shall never stick at trifles to conform myself to your opinions; in the present instance, I am so totally uninform’d as to the general situation of America, that I can form no judgment of the necessity the convention was under to give us such a constitution as it has done; If our condition is not very desperate, I have my fears that the remedy will [36]prove worse than the disease. Age makes men often over cautious; I am willing to attribute my fears to that cause, but from whatever source they spring, I can not divest myself of an opinion, that the seeds of civil discord are plentifully sown, in very many of the powers given both to the president and congress, and that if the constitution is carried in to effect, the States south of potowmac, will be little more than appendages to those to the northward of it. You will say that general charges, are things without force, they are so, but in the present instance, I do not withhold particular observations, because I want them, but that I would not tire your patience, by entering deeply into a subject, before I had heard the reasons which operated in favor of the measures taken. After the meeting of the assembly3 and hearing from those who had a hand in the work, the reasons that operated with them, in favor of their measures, I will then more at length give you my sentiments, in the interim, I shall only say, that my objections chiefly lay, agst. the unlimited powers of taxation, and the regulations of trade, and the jurisdictions that are to be established in every State, altogether independent of their laws. The sword, and such powers will; nay in the nature of things they must sooner or later, establish a tyrany, not inferiour to the triumvirate, or centum viri of Room [Rome]. But enough of this, till another opportunity, in the mean time I have only to add, that I am with the most unfeigned attachment, and perfect esteem"
Letter,No,Richard Henry Lee,Samuel Adams,,,10/5/1787,"Having long toiled with you my dear friend in the Vineyard of liberty, I do with great pleasure submit to your wisdom and patriotism, the objections that prevail in my mind against the new Constitution proposed for federal government—Which objections I did propose to Congress in form of amendments to be discussed, and that such as were approved might be forwarded to the States with the Convention system. You will have been informed by other hands why these amendments were not considered and do not appear on the Journal, and the reasons that influenced a bare transmission of the Convention plan, without a syllable of approbation or disapprobation on the part of Congress.2 I [37]suppose my dear Sir, that the good people of the U. States in their late generous contest, contended for free government in the fullest, clearest, and strongest sense. That they had no idea of being brought under despotic rule under the notion of “Strong government,” or in form of elective despotism: Chains being still Chains, whether made of gold or of iron. The corrupting nature of power, and its insatiable appetite for increase, hath proved the necessity, and procured the adoption of the strongest and most express declarations of that Residuum of natural rights, which is not intended to be given up to Society; and which indeed is not necessary to be given for any good social purpose. In a government therefore, where the power of judging what shall be for the general wellfare, which goes to every object of human legislation; and where the laws of such Judges shall be the supreme Law of the Land: it seems to be of the last consequence to declare in most explicit terms the reservations above alluded to. So much for the propriety of a Bill of Rights as a necessary bottom to this new system—It is in vain to say that the defects in this new Constitution may be remedied by the Legislature created by it. The remedy, as it may, as it may not be applied—And if it should, a subsequent Assembly may repeal the Acts of its predecessor for the parliamentary doctrine is ‘quod legis posteriores priores contrarias abrogant’ 4 Inst. 43.3 Surely this is not a ground upon which a wise and good man would choose to rest the dearest rights of human nature—Indeed, some capital defects are not within the compass of legislative redress—The Oligarchic tendency from the combination of President, V. President, & Senate, is a ruin not within legislative remedy. Nor is the partial right of voting in the Senate, or the defective numbers in the house of Representatives. It is of little consequence to say that the numbers in the last mentioned Assembly will increase with the population of these States, because what may happen in twenty five or 27 years hence is poor alleviation of evil, that the intermediate time is big with; for it often happens that abuse under the name of Use is rivetted upon Mankind. Nor can a good reason be assigned for establishing a bad, instead of a good government, in the first instance; because time may amend the bad-Men do not choose to be sick because it may happen that physic may cure them—Suppose that good men came first to the administration of this government; and that they should see, or think they see, a necessity for trying criminally a Man without giving him his Jury of the Vicinage; or that the freedom of the Press should be restrained because it disturbed the operations of the new government—the mutilation of the jury trial, and the restraint of the Press would then [38]follow for good purposes as it should seem, and by good men—But these precedents will be followed by bad men to sacrifice honest and innocent men; and to suppress the exertions of the Press for wicked and tyrannic purposes—it being certainly true that ‘Omnia mala exempla ex bonis orta sunt: sed ubi imperium ad ignaros aut minus bonos pervinit, novum illud exemplum ab dignis et idoneis ad indignos et non idoneous fertur.’4 In proof of this, we know that the wise and good Lord Holt, to support King William and Revolution principles, produced doctrines in a case of Libel (King against Bear) subversive both of law and sound sense; which his Successor Lord Mannsfield (in the case of Woodfall) would have availed himself of for the restraint of the Press and the ruin of liberty.5 It would appear therefore, that the consideration of human perversity renders it necessary for human safety, that in the first place, power not requisite should not be given, and in the next place that necessary powers should be carefully guarded. How far this is done in the New Constitution I submit to your wise and attentive consideration. Whether, for the present, it may not be sufficient so to alter the Confederation as to allow Congress full liberty to make Treaties by removing the restraining clauses;6 by giving the Impost for a limited time, and the power of Regulating trade; is a question that deserves to be considered. But I think the new Constitution (properly amended) as it contains many good regulations, may be admitted—And why may not such indispensable amendments be proposed by the Conventions and returned With the new plan to Congress that a new general Convention may so weave them into the proffer’d system as that a Web may be produced fit for freemen to wear? If such amendments were proposed by a Capital state or two, & a willingness expressed to agree with the plan so amended; I cannot see why it may not be effected. It is a mere begging the question to suppose, as some do, that only this Moment and this Measure will do—But why so, there being no war external or internal to prevent due deliberation on this most momentous business—The public papers will inform you what violence has been practised by the Agitators of this new System in Philadelphia to drive on its immediate adoption—As if the subject of Government were a business of passion, instead of cool, sober, and intense consideration.7 I shall not leave this place before the 4th of November—in the mean time I shall be happy to hear from you—My best compliments are presented to Mrs. Adams, and I pray to be remembered to Gen. [James] Warren, Mr. [James] Lovell & the good Doctor [Samuel] Holten when you see him."
Letter,No,George Mason,George Washington,,,10/7/1787,"I got very much hurt in my Neck & Head, by the unlucky Accident on the Road; it is now wearing off; tho’ at times still uneasy to me.2— I take the Liberty to enclose You my Objections to the new Constitution of Government; which a little Moderation & Temper, in the latter End of the Convention, might have removed. I am however most decidedly of Opinion, that it ought to be submitted to a Convention chosen by the People, for that special Purpose; and should any Attempt be made to prevent the calling such a Convention here, such a Measure shall have every Opposition in my Power to give it3—You will readily observe, that my Objections are not numerous (the greater Part of the inclosed paper containing Reasonings upon the probable Effects of the exceptionable Parts) tho’ in my Mind, some of them are capital ones.— There is no Declaration of Rights; and the Laws of the general Government being paramount to the Laws & Constitutions of the several States, the Declarations of Rights in the separate States are no Security. Nor are the People secured even in the Enjoyment of the Benefits of the common-Law; (which stands here upon no other Foundation than it’s having been adopted by the respective Acts forming the Constitutions of the several States.—) In the House of Representatives there is not the Substance, but the Shadow only of Representation; which can never produce proper Information in the Legislature, or inspire Confidence in the People: the Laws will therefore be generally made by Men little concern’d in, and unacquainted with their Effects & Consequences.—(a) The Senate have the Power of altering all Money-Bills, and of originating Appropriations of Money, & the sallerys of the Officers of their own Appointment in Conjunction with the President of the United States; altho’ they are not the Representatives of the People, or amenable to them.— These with their other great Powers (vizt. their Power in the Appointment of Ambassadors & all public Officers, in making Treaties, & in trying all Impeachments) their Influence upon & Connection with the supreme Executive from these Causes, their Duration of Office, and their being a constant existing Body almost continually sitting, [44]join’d with their being one compleat Branch of the Legislature, will destroy any Balance in the Government, and enable them to accomplish what Usurpations they please upon the Rights & Libertys of the People.— The Judiciary of the United States is so constructed & extended, as to absorb & destroy the Judiciarys of the several States; thereby rendering Law as tedious intricate & expensive, and Justice as unattainable, by a great Part of the Community, as in England, and enabling the Rich to oppress & ruin the Poor.— The President of the United States has no constitutional Council (a thing unknown in any safe & regular Government) he will therefore be unsupported by proper Information & Advice; and will generally be directed by Minions & Favourites—or He will become a Tool to the Senate—or a Council of State will grow out of the principal Officers of the great Departments; the worst & most dangerous of all Ingredients for such a Council, in a free Country; <for they may be induced to join in any dangerous or oppressive Measures, to shelter themselves and prevent an Inquiry into their own Misconduct in Office; whereas had a constitutional Council been formed (as was proposed) of six Members; vizt. two from the Eastern, two from the Middle, and two from the Southern States, to be appointed by Vote of the States in the House of Representatives, with the same Duration & Rotation of Office as the Senate, the Executive would always have had safe & proper Information & Advice, the President of such a Council might have acted as Vice President of the United States, pro tempore, upon any Vacancy or Disability of the chief Magistrate; and long continued Sessions of the Senate would in a great Measure have been prevented.—> From this fatal Defect of a constitutional Council has arisen the improper Power of the Senate, in the Appointment of public Officers, and the alarming Dependence & Connection between that Branch of the Legislature, and the supreme Executive.—Hence also sprung that unnecessary & dangerous Officer the Vice President; who for want of other Employment, is made President of the Senate; thereby dangerously blending the executive & legislative Powers; besides always giving to some one of the States an unnecessary & unjust Pre-eminence over the others.— The President of the United States has the unrestrained Power of granting Pardons for Treason; which may be sometimes excercised to screen from Punishment those whom he had secretly instigated to commit the Crime, & thereby prevent a Discovery of his own Guilt.— By declaring all Treaties supreme Laws of the Land, the Executive [45]& the Senate have, in many Cases, an exclusive Power of Legislation; which might have been avoided, by proper Distinctions with Respect to Treaties, and requiring the Assent of the House of Representatives, where it could be done with Safety.— By requiring only a Majority to make all Commercial & Navigation Laws, the five Southern States (whose Produce & Circumstances are totally different from that of the eight Northern & Eastern States) will be ruined; for such rigid & premature Regulations may be made as will enable the Merchants of the Northern & Eastern States not only to demand an exorbitant Freight, but to monopolize the Purchase of the Commodities at their own Price, for many Years: to the great Injury of the landed Interest, & Impoverishment of the People: and the Danger is the greater, as the Gain on one Side will be in Proportion to the Loss on the other. Whereas requiring two thirds of the Members present in both Houses would have produced mutual Moderation, promoted the general Interest, and removed an insuperable Objection to the Adoption of the Government.— Under their own Construction of the general Clause at the End of the enumerated Powers, the Congress may grant Monopolies in Trade & Commerce, constitute new Crimes, inflict unusual & severe Punishments, and extend their Power as far as they shall think proper; so that the State Legislatures have no Security for the Powers now presumed to remain to them; or the People for their Rights.— There is no Declaration of any kind for preserving the Liberty of the Press, the Tryal by jury in civil Causes; nor against the Danger of standing Armys in time of Peace. The State Legislatures are restrained from laying Export-Duties on their own Produce.— The general Legislature is restrained from prohibiting the further Importation of Slaves for twenty odd Years; tho’ such Importations render the United States weaker, more vulnerable, and less capable of Defence.— Both the general Legislature & the State Legislatures are expressly prohibited making ex post facto Laws; tho’ there never was or can be a Legislature but must & will make such Laws, when Necessity & the public Safety require them; which will hereafter be a Breach of all the Constitutions in the Union, and afford Precedents for other Innovations.— This Government will commence in a moderate Aristocracy; it is at present impossible to foresee whether it will, in it’s Operation, produce a Monarchy, or a corrupt oppressive Aristocracy; it will most probably [46]vibrate some years between the two, and then terminate in the one or the other.— (a)This Objection has been in some Degree lessened by an Amendment, often before refused, and at last made by an Erasure, after the Engrossment upon Parchment, of the word forty, and inserting thirty, in the 3d. Clause of the 2d. Section of the 1st. Article.—"
Letter,No,Richard Henry Lee,George Washington,,,10/11/1787,"It is under the strongest impressions of your goodness and candor, that I venture to make the observations that follow in this letter, assuring you that I feel it among the first distresses that have happened to me in my life, that I find myself compelled by irresistible conviction of mind to doubt about the new System for federal government recommended by the late Convention. It is Sir, in consequence of long reflection upon the nature of Man and of government, that I am led to fear the danger that will ensue to Civil Liberty, from the adoption of the new system in its present form. I am fully sensible of the propriety of change in the present plan of confederation, and altho there may be difficulties, not inconsiderable, in procuring an adoption of such amendments to the Convention System as will give security to the just rights of human nature, and better secure from injury the discordant interests of the different parts of this Union; yet I hope that these difficulties are not insurmountable. Because we are happily uninterrupted by external war, or by such internal discords as can prevent peaceable and fair discussion, in another Convention, of those objections that are fundamentally strong against the new Constitution, which abounds with useful regulations. As there is so great a part of the business well done already, I think that such alterations as must give very general content, could not long employ another Convention when provided with the sense of the different States upon those alterations. I am much inclined to believe that the amendments generally thought to be necessary, will be found to be of such a nature, as tho they do not oppose the exercise of a very competent federal power; are yet such as the best Theories on Government and the best practise upon those theories have found necessary. At the same time that they are [52]such as the opinions of our people have for ages been fixed on. It would be unnecessary for me here to enumerate particulars as I expect the honor of waiting on you at Mount Vernon in my way home early in November.2"
Letter,No,Richard Henry Lee,Edmund Randolph,,,10/16/1787,"Dear Sir, I was duly honored with your favor of September 17th,1 from Philadelphia, which should have been acknowledged long before now, if the nature of the business that it related to had not required time. The establishment of the new plan of government, in its present form, is a question that involves such immense consequences to the present times and to posterity, that it calls for the deepest attention of the best and wisest friends of their country and of mankind. If it be found good after mature deliberation, adopt it, if wrong, amend it at all events, for to say (as many do) that a bad government must be established for fear of anarchy, is really saying that we must kill ourselves for fear of dying. Experience and the actual state of things, shew that there is no difficulty in procuring a general convention; the late one being collected without any obstruction: Nor does external war, or internal discord prevent the most cool, collected, full, and fair discussion of this all-important subject. If with infinite ease, a convention was obtained to prepare a system, why may not another with equal ease be procured to make proper and necessary amendments? Good government is not the work of a short time, or of sudden thought. From Moses to Montesquieu the greatest geniuses have been employed on this difficult subject, and yet experience has shewn capital defects in the system produced for the government of mankind. But since it is neither prudent or easy to make frequent changes in government, and as bad governments have been generally found the most fixed; so it becomes of the last consequence to frame the first establishment upon ground the most unexceptionable, and such as the best theories with experience justify; not trusting as our new constitution does, and as many approve of doing, to time and future events to correct errors, that both reason and experience in similar cases, point out in the new system. It has hitherto been supposed a fundamental maxim that in governments rightly balanced, the different branches of legislature should be unconnected, and that the legislative and executive powers should be separate:—In the new constitution, the president and senate have all the executive and two thirds of the legislative power. In some weighty instances (as making all kinds of treaties which are to be the laws of the land) they have the whole legislative and executive powers. They jointly, appoint all officers civil and military, and they (the senate) [62]try all impeachments either of their own members, or of the officers appointed by themselves. Is there not a most formidable combination of power thus created in a few, and can the most critic eye, if a candid one, discover responsibility in this potent corps? Or will any sensible man say, that great power without responsibility can be given to rulers with safety to liberty? It is most clear that the parade of impeachment is nothing to them or any of them—as little restraint is to be found, I presume from the fear of offending constituents.—The president is for four years duration (and Virginia for example) has one vote of thirteen in the choice of him, and this thirteenth vote not of the people, but electors, two removes from the people. The senate is a body of six years duration, and as in the choice of president, the largest state has but a thirteenth vote, so is it in the choice of senators.—This latter statement is adduced to shew that responsibility is as little to be apprehended from amenability to constituents, as from the terror of impeachment. You are, therefore, Sir, well warranted in saying, either a monarchy or aristocracy will be generated, perhaps the most grievous system of government may arise. It cannot be denied with truth, that this new constitution is, in its first principles, highly and dangerously oligarchic; and it is a point agreed that a government of the few, is, of all governments, the worst. The only check to be found in favor of the democratic principle in this system is, the house of representatives; which I believe may justly be called a mere shread or rag of representation: It being obvious to the least examination, that smallness of number and great comparative disparity of power, renders that house of little effect to promote good, or restrain bad government. But what is the power given to this ill constructed body? To judge of what may be for the general welfare, and such judgments when made, the acts of Congress become the supreme laws of the land. This seems a power co-extensive with every possible object of human legislation.—Yet there is no restraint in form of a bill of rights, to secure (what Doctor Blackstone calls) that residuum of human rights, which is not intended to be given up to society, and which indeed is not necessary to be given for any good social purpose.2—The rights of conscience, the freedom of the press, and the trial by jury are at mercy. It is there stated, that in criminal cases, the trial shall be by jury. But how? In the state. What then becomes of the jury of the vicinage or at least from the county in the first instance, for the states being from 50 to 700 miles in extent? This mode of trial even in criminal cases may be greatly impaired, and in civil causes the inference is strong, that it may be altogether omitted as the constitution positively assumes it in criminal, [63]and is silent about it in civil causes.—Nay, it is more strongly discountenanced in civil cases by giving the supreme court in appeals, jurisdiction both as to law and fact. Judge Blackstone in his learned commentaries, art. jury trial, says, it is the most transcendant privilege which any subject can enjoy or wish for, that he cannot be affected either in his property, his liberty, his person, but by the unanimous consent of 12 of his neighbours and equals.3 A constitution that I may venture to affirm has under providence, secured the just liberties of this nation for a long succession of ages.—The impartial administration of justice, which secures both our persons and our properties, is the great end of civil society. But if that be entirely entrusted to the magistracy, a select body of men, and those generally selected by the prince, or such as enjoy the highest offices of the state, these decisions in spite of their own natural integrity, will have frequently an involuntary bias towards those of their own rank and dignity. It is not to be expected from human nature, that the few should always be attentive to the good of the many. The learned judge further says, that every tribunal selected for the decision of facts, is a step towards establishing aristocracy; the most oppressive of all governments.4 The answer to these objections is, that the new legislature may provide remedies!—But as they may, so they may not, and if they did, a succeeding assembly may repeal the provisions.—The evil is found resting upon constitutional bottom, and the remedy upon the mutable ground of legislation, revocable at any annual meeting. It is the more unfortunate that this great security of human rights, the trial by jury, should be weakened in this system, as power is unnecessarily given in the second section of the third article, to call people from their own country in all cases of controversy about property between citizens of different states and foreigners, with citizens of the United States, to be tried in a distant court where the Congress may sit. For although inferior congressional courts may for the above purposes be instituted in the different states, yet this is a matter altogether in the pleasure of the new legislature, so that if they please not to institute them, or if they do not regulate the right of appeal reasonably, the people will be exposed to endless oppression, and the necessity of submitting in multitudes of cases, to pay unjust demands, rather than follow suitors, through great expence, to far distant tribunals, and to be determined upon there, as it may be, without a jury.—In this congressional legislature, a bare majority of votes can enact commercial laws, so that the representatives of the seven northern states, as they will have a majority, can by law create the most oppressive monopoly upon the five southern states, whose circumstances and productions are essentially different from theirs, [64]although not a single man of these voters are the representatives of, or amenable to the people of the southern states. Can such a set of men be, with the least colour of truth called a representative of those they make laws for? It is supposed that the policy of the northern states will prevent such abuses. But how feeble, Sir, is policy when opposed to interest among trading people:—And what is the restraint arising from policy? Why that we may be forced by abuse to become ship-builders!—But how long will it be before a people of agriculture can produce ships sufficient to export such bulky commodities as ours, and of such extent; and if we had the ships, from whence are the seamen to come? 4000 of whom at least will be necessary in Virginia. In questions so liable to abuse, why was not the necessary vote put to two thirds of the members of the legislature? With the constitution came from the convention, so many members of that body to Congress, and of those too, who were among the most fiery zealots for their system, that the votes of three states being of them, two states divided by them, and many others mixed with them, it is easy to see that Congress could have little opinion upon the subject.5 Some denied our right to make amendments, whilst others more moderate agreed to the right, but denied the expediency of amending; but it was plain that a majority was ready to send it on in terms of approbation—my judgment and conscience forbid the last, and therefore I moved the amendments that I have the honor to send you inclosed herewith, and demanded the yeas and nays that they might appear on the journal. This seemed to alarm and to prevent such appearance on the journal, it was agreed to transmit the constitution without a syllable of approbation or disapprobation; so that the term unanimously only applied to the transmission, as you will observe by attending to the terms of the resolve for transmitting.6 Upon the whole, Sir, my opinion is, that as this constitution abounds with useful regulations, at the same time that it is liable to strong and fundamental objections, the plan for us to pursue, will be to propose the necessary amendments, and express our willingness to adopt it with the amendments, and to suggest the calling of a new convention for the purpose of considering them. To this I see no well founded objection, but great safety and much good to be the probable result. I am perfectly satisfied that you make such use of this letter as you shall think to be for the public good; and now after begging your pardon for so great a trespass on your patience, and presenting my best respects to your lady, I will conclude with assuring you, that I am with the sincerest esteem and regard, dear Sir, your most affectionate and obedient servant, RICHARD HENRY LEE."
Broadside,No,Richard Henry Lee,,,,10/16/1787,"It having been found from universal experience, that the most express declarations and reservations are necessary to protect the just rights and liberty of mankind from the silent, powerful and ever active conspiracy of those who govern; and it appearing to be the sense of the good people of America, by the various bills or declarations of rights whereon the government of the greater number of states are founded. That such precautions are necessary to restrain and regulate the exercise of the great powers given to rulers. In conformity with these principles, and from respect for the public sentiment on this subject, it is submitted,—That the new constitution proposed for the government of the United States be bottomed upon a declaration or bill of rights, clearly and precisely stating the principles upon which this social compact is founded, to wit: That the rights of conscience in matters of religion ought not to be violated—That the freedom of the press shall be secured—That the trial by jury in criminal and civil cases, and the modes prescribed by the common law for the safety of life in criminal prosecutions, shall be held sacred—That standing armies in times of peace are dangerous to liberty, and ought not to be permitted, unless assented to by two-thirds of the members composing each house of the legislature under the new constitution—That the elections should be free and frequent; That the right administration of justice should be secured by the independency of the judges; That excessive bail, excessive fines, or cruel and unusual punishments, should not be demanded or inflicted; That the right of the people to assemble peaceably, for the purpose of petitioning the legislature, shall not be prevented; that the citizens shall not be exposed to unreasonable searches, seizure of their persons, houses, papers or property; and it is necessary for the good of society, that the administration of government be conducted with all possible maturity of judgment, for which reason it hath been the practice of civilized nations, and so determined by every state in the Union: That a council of state or privy council should be appointed to advise and assist in the arduous business assigned to the executive power. Therefore let the new constitution be so amended, as to admit the appointment of a privy council, to consist of eleven members chosen by the president, but responsible for the advice they may give. For which purpose the advice given shall be entered in a council book, and signed by the giver, in all affairs of great moment, and that the counsellors act under an oath of office. In order to prevent the dangerous blending of the legislative and executive powers, and to secure responsibility, the privy, and not the [66]senate shall be joined with the president in the appointment of all officers, civil and military, under the new constitution; that the constitution be so altered as not to admit the creation of a vice-president, when duties as assigned may be discharged by the privy council, except in the instance of proceeding in the senate, which may be supplied by a speaker chosen from the body of senators by themselves, as usual, that so may be avoided the establishment of a great officer of state, who is sometimes to be joined with the legislature, and sometimes to administer the government, rendering responsibility difficult,8 besides giving unjust and needless pre-eminence to that state from whence this officer may have come. That such parts of the new constitution be amended as provide imperfectly for the trial of criminals by a jury of the vicinage, and to supply the omission of a jury trial in civil causes or disputes about property between individuals, whereby the common law is directed, and as generally it is secured by the several state constitutions. That such parts of the new constitution be amended, as permit the vexatious and oppressive callings of citizens from their own country, and all controversies between citizens of different states and between citizens and foreigners, to be tried in a far distant court, and as it may be without a jury, whereby in a multitude of cases, the circumstances of distance and expence may compel numbers to submit to the most unjust and ill-founded demand—That in order to secure the rights of the people more effectually from violation, the power and respectability of the house of representatives be increased, by increasing the number of delegates to that house, where the popular interest must chiefly depend for protection—That the constitution be so amended as to increase the number of votes necessary to determine questions in cases where a bare majority may be seduced by strong motives of interest to injure and oppress the minority of the community, as in commercial regulations, where advantage may be taken of circumstances to ordain rigid and premature laws, that will in effect amount to monopolies, to the great impoverishment of those states whose peculiar situation expose them to such injuries"
